layer,plain_harmful_mean,cipher_harmful_mean,benign_mean,plain_minus_benign,cipher_minus_benign
0,0.008,0.008,0.008,0.0,0.0
1,0.547,0.467,0.552,-0.006,-0.086
2,0.57,0.553,0.564,0.006,-0.011
3,0.884,0.708,0.868,0.017,-0.16
4,1.226,0.956,1.207,0.019,-0.25
5,1.361,1.071,1.328,0.034,-0.257
6,1.51,1.307,1.452,0.058,-0.145
7,1.423,1.281,1.333,0.09,-0.052
8,1.589,1.583,1.49,0.1,0.094
9,1.714,1.788,1.512,0.201,0.276
10,2.608,2.174,2.046,0.563,0.128
11,3.555,2.688,1.896,1.659,0.792
12,4.415,3.109,2.322,2.092,0.786
13,7.531,3.612,3.218,4.313,0.394
14,20.093,3.822,2.876,17.216,0.946
15,27.861,3.963,2.533,25.328,1.43
16,37.089,4.312,1.594,35.495,2.718
17,32.29,3.978,1.654,30.636,2.324
18,31.483,3.492,2.046,29.437,1.446
19,29.92,3.766,1.95,27.971,1.817
20,29.643,5.227,2.642,27.001,2.585
21,30.285,5.459,2.962,27.323,2.498
22,32.428,7.126,4.136,28.292,2.99
23,33.418,7.596,4.071,29.346,3.524
24,34.672,8.422,4.665,30.007,3.757
25,35.552,9.105,4.869,30.683,4.236
26,35.757,10.511,5.899,29.859,4.612
27,34.678,10.894,5.58,29.097,5.314
28,34.931,11.733,6.686,28.245,5.047
29,32.243,12.518,7.185,25.058,5.334
30,30.901,11.078,7.737,23.164,3.341
31,15.435,-0.684,1.497,13.938,-2.181
32,1.634,-0.719,-0.162,1.796,-0.557
