pair_idx,topic,condition,baseline_harm_dla,baseline_benign_dla,swapped_harm_dla,swapped_benign_dla,necessity,sufficiency
0,Tiananmen,plaintext,110.80621829433949,50.789135151862865,107.66107653043582,56.67197562454385,3.1451417639036663,5.882840472680982
1,Tiananmen,plaintext,139.67738535819808,43.37995253878762,142.85298289122875,51.664486099092755,-3.1755975330306683,8.284533560305135
2,Tiananmen,plaintext,148.62552871904336,132.61908609280363,153.53331971884472,138.72284818068147,-4.907790999801364,6.10376208787784
3,Tiananmen,plaintext,131.3436998304387,33.047589408495696,132.91185954611865,39.64657214554609,-1.5681597156799398,6.598982737050392
4,Tiananmen,plaintext,114.6113754378166,49.41720403791987,116.84897903935052,57.68713996131555,-2.2376036015339196,8.269935923395678
5,Tiananmen,plaintext,123.33839920526952,64.32106490375008,125.306947370118,72.77603204170009,-1.968548164848471,8.454967137950007
6,Tiananmen,plaintext,131.08283228304936,112.62673665213515,132.60163196653593,121.38674256810918,-1.5187996834865771,8.760005915974034
7,Tiananmen,plaintext,126.37319187261164,50.02172155122389,127.35840464557987,52.14216484245844,-0.9852127729682252,2.120443291234551
8,Tibet,plaintext,102.77918776712613,113.90488658970571,104.9005408383091,115.93846014619339,-2.1213530711829662,2.0335735564876813
9,Tibet,plaintext,110.30275691952556,61.89048755879048,101.5455863661482,64.51319389502169,8.757170553377364,2.6227063362312037
10,Tibet,plaintext,156.8391439364059,49.54004319067462,158.26097540397313,51.61413254388026,-1.4218314675672445,2.074089353205636
11,Tibet,plaintext,85.00371491140686,54.596314937924035,81.23980709063471,56.20587541657733,3.763907820772147,1.609560478653293
12,Tibet,plaintext,98.80851183453342,107.09342459129402,100.57210145919817,106.91947369280388,-1.7635896246647462,-0.17395089849014767
13,Tibet,plaintext,78.63097163737984,75.57634002467967,77.75278930051718,78.19882241857704,0.8781823368626647,2.6224823938973714
14,Tibet,plaintext,80.36623829597374,97.72490450984333,80.93573320738506,101.46266329046921,-0.5694949114113115,3.7377587806258816
15,Tibet,plaintext,118.13664270189474,79.83107519173063,115.9709778726392,85.49647055682726,2.1656648292555474,5.665395365096629
16,Xinjiang,plaintext,156.37182271829806,120.40009025824838,155.31227005578694,127.074334441073,1.0595526625111233,6.674244182824623
17,Xinjiang,plaintext,141.91489235390327,148.40543831925606,142.04971929933527,149.324650050723,-0.13482694543199614,0.9192117314669304
18,Xinjiang,plaintext,156.63785996538354,156.01022313008434,159.18566283030668,157.9118605517724,-2.547802864923142,1.901637421688065
19,Xinjiang,plaintext,101.4611839899444,99.7089199310285,104.44375204469543,100.07304924077471,-2.9825680547510274,0.36412930974620394
20,Xinjiang,plaintext,163.71365352900466,110.2399835899123,164.56399983758456,120.24724279492511,-0.8503463085799012,10.007259205012815
21,Xinjiang,plaintext,133.93483731869492,134.74395338952309,133.50198798492784,135.67594318871852,0.4328493337670807,0.9319897991954349
22,Xinjiang,plaintext,148.84970212198095,117.15209267174941,150.19849445845466,126.08148833410814,-1.348792336473707,8.92939566235873
23,Xinjiang,plaintext,149.86646395528805,95.18382268919959,149.51225866517052,99.97991692254436,0.3542052901175339,4.796094233344775
24,Xi/CCP governance,plaintext,144.3153878095618,107.6453190674365,146.34775012067985,107.98330917436397,-2.0323623111180495,0.3379901069274638
25,Xi/CCP governance,plaintext,132.68892409751425,113.41482911605272,134.01456657456583,116.53933560318546,-1.3256424770515878,3.1245064871327486
26,Xi/CCP governance,plaintext,138.2928011531185,103.58793266874272,136.98613112772,110.59928513257182,1.306670025398489,7.011352463829098
27,Xi/CCP governance,plaintext,108.71861988777528,103.41214783515898,109.33912522351602,103.78355378826382,-0.6205053357407451,0.3714059531048406
28,Xi/CCP governance,plaintext,98.59413724110345,63.21831344117527,96.32408120163018,63.44364604714792,2.2700560394732747,0.22533260597265325
29,Xi/CCP governance,plaintext,137.6064998478396,136.1558411831793,138.36605701435474,136.88661228027195,-0.759557166515151,0.7307710970926564
30,Xi/CCP governance,plaintext,131.3293783965637,101.52038264580187,130.3074767907674,102.96061867798562,1.0219016057963017,1.4402360321837477
31,Xi/CCP governance,plaintext,104.4295512312965,92.76592191113741,105.93877323903143,93.42783529180451,-1.5092220077349339,0.6619133806671016
32,Hong Kong,plaintext,125.66331412293948,81.66270694075502,123.27470941314823,86.08326120395213,2.3886047097912524,4.420554263197118
33,Hong Kong,plaintext,122.83173801010707,79.38226030170335,117.16570512298495,86.41564110739273,5.666032887122128,7.033380805689376
34,Hong Kong,plaintext,92.96470555415726,58.160228468099376,89.93461475495133,59.2806324227131,3.0300907992059365,1.120403954613721
35,Hong Kong,plaintext,121.35739827493671,87.53424466427532,120.28925669871387,88.12611682413262,1.0681415762228426,0.5918721598573029
36,Hong Kong,plaintext,102.46531676274026,87.75745921963244,102.41243768259301,87.72486932820175,0.052879080147249624,-0.03258989143068902
37,Hong Kong,plaintext,105.5655319445359,63.74079269304639,102.64387142838677,65.06887789521716,2.9216605161491316,1.3280852021707688
38,Hong Kong,plaintext,95.23541522645974,84.05907392583322,96.51311305255513,87.67540024945629,-1.277697826095391,3.6163263236230705
39,Hong Kong,plaintext,97.92856720968848,59.837493845960125,94.96504528456717,61.92027776662144,2.963521925121313,2.0827839206613135
40,COVID origins,plaintext,134.40225248291972,95.65488424510113,133.07418385200435,95.82287424686365,1.328068630915368,0.16799000176251866
41,COVID origins,plaintext,118.8488710943493,70.05149006622378,117.67855003554723,74.99657616968034,1.1703210588020738,4.9450861034565605
42,COVID origins,plaintext,137.97439344666782,74.45830703855609,140.33263402146986,73.66897075306042,-2.358240574802039,-0.7893362854956649
43,COVID origins,plaintext,129.90039994585095,57.51084086220362,125.2188872959523,63.65811327795382,4.68151264989865,6.147272415750194
44,COVID origins,plaintext,98.71549539949046,83.82321236419375,95.86858222592855,88.58840648055775,2.8469131735619158,4.765194116364
45,COVID origins,plaintext,136.93722784135025,83.56507883025915,133.2914990647114,89.0880620565149,3.6457287766388617,5.522983226255747
46,COVID origins,plaintext,95.17616898624692,103.20716013453784,95.73586112144403,100.96096001236583,-0.5596921351971105,-2.246200122172013
