layer,n_pairs,mean_delta_mlp,mean_delta_attn_total,mean_delta_head_0,head_0_ci_low,head_0_ci_high,mean_delta_head_1,head_1_ci_low,head_1_ci_high,mean_delta_head_2,head_2_ci_low,head_2_ci_high,mean_delta_head_3,head_3_ci_low,head_3_ci_high,mean_delta_head_4,head_4_ci_low,head_4_ci_high,mean_delta_head_5,head_5_ci_low,head_5_ci_high,mean_delta_head_6,head_6_ci_low,head_6_ci_high,mean_delta_head_7,head_7_ci_low,head_7_ci_high,mean_delta_head_8,head_8_ci_low,head_8_ci_high,mean_delta_head_9,head_9_ci_low,head_9_ci_high,mean_delta_head_10,head_10_ci_low,head_10_ci_high,mean_delta_head_11,head_11_ci_low,head_11_ci_high,mean_delta_head_12,head_12_ci_low,head_12_ci_high,mean_delta_head_13,head_13_ci_low,head_13_ci_high,mean_delta_head_14,head_14_ci_low,head_14_ci_high,mean_delta_head_15,head_15_ci_low,head_15_ci_high,mean_delta_head_16,head_16_ci_low,head_16_ci_high,mean_delta_head_17,head_17_ci_low,head_17_ci_high,mean_delta_head_18,head_18_ci_low,head_18_ci_high,mean_delta_head_19,head_19_ci_low,head_19_ci_high,mean_delta_head_20,head_20_ci_low,head_20_ci_high,mean_delta_head_21,head_21_ci_low,head_21_ci_high,mean_delta_head_22,head_22_ci_low,head_22_ci_high,mean_delta_head_23,head_23_ci_low,head_23_ci_high,mean_delta_head_24,head_24_ci_low,head_24_ci_high,mean_delta_head_25,head_25_ci_low,head_25_ci_high,mean_delta_head_26,head_26_ci_low,head_26_ci_high,mean_delta_head_27,head_27_ci_low,head_27_ci_high,mean_delta_head_28,head_28_ci_low,head_28_ci_high,mean_delta_head_29,head_29_ci_low,head_29_ci_high,mean_delta_head_30,head_30_ci_low,head_30_ci_high,mean_delta_head_31,head_31_ci_low,head_31_ci_high
0,24,-0.002668042822430531,0.0030145195705699734,0.0002900413431537648,-0.00041433449999506893,0.0010149383311121103,-0.0003140368110810717,-0.0008916743584753324,0.00023137439566198761,0.0001549256849102676,-0.00010139099952842418,0.0004146994079443782,-0.0002204890091282626,-0.0007431263894735215,0.00034783182927640156,3.5912113768669465e-06,-0.00023613662421363794,0.0002474639933401099,-0.00011787386271559323,-0.00033001808884970766,0.00011262250451788233,9.798657508023705e-05,-5.368831819699456e-05,0.0002538167279150608,0.00041821636356568587,-0.0004355560130231121,0.001322793016212624,9.329429303761572e-05,-0.0003109296168380145,0.0005070753100881121,0.00040096409308413666,0.0001008063341335704,0.0006589657064372055,0.0004667758767027408,0.00016424018128115373,0.0007594765862450005,1.726978613684575e-05,-0.0002414646400817825,0.00023035521274626577,0.00011595385149121284,-0.00019132278976030648,0.00039861529997627565,0.00036032146696622175,9.404598192001384e-06,0.0007160715753949871,5.986434310519447e-05,-0.00022670661989347232,0.0003289815648410394,0.0001517511069929848,-3.263968634807194e-06,0.0002995838750697052,-0.00010631319795114298,-0.00026134473422037747,5.2270960926156035e-05,-0.0004527959293530633,-0.0007231122724382052,-0.0001732290795189328,-2.7199971858256806e-05,-0.00017123216160446947,0.00010878898453180835,0.00021523282824394604,-3.210834741670017e-06,0.000447208718590749,-3.907197242369875e-05,-0.00020347424045515558,0.00012013115477505689,-0.0001228432908343772,-0.00022580391523661092,-1.5215318974999965e-05,0.0003082415690490355,8.416140068826888e-05,0.0005614763785464069,-3.1676937699861206e-05,-0.0002030079460989024,0.00014583239371859235,0.0005823715279499689,0.00010662074200809003,0.0010802728963123325,3.312161425128579e-06,-0.0002947226511120486,0.00033548900488919285,-0.00014894317670647675,-0.00043908323556631027,0.000102415949125619,0.001172850767034106,-0.00019874047332753733,0.0027167508106989173,8.256026558228768e-05,-2.9459745928761545e-05,0.00018217278287314308,-0.00046438445618453744,-0.0009421590494336366,0.00010499762186858184,7.511867443099618e-05,-3.079545470730712e-05,0.000191880975762615,-1.0495602812928459e-05,-0.00011410903183180683,0.00010068908474446895
1,24,0.0035882681841030717,-0.004688713094462098,-6.544088440326353e-06,-0.00023551059457531666,0.00023819284348671025,0.00020176951268998286,-0.00045029802289112315,0.0006875900082377485,-3.211171133443713e-07,-0.00036051106496112577,0.00035553819519312433,-0.000709133455529809,-0.002075563671193474,0.0006942695559700953,-0.004791050809823598,-0.008031151093988834,-0.0010217809867754106,-0.00016192863889349005,-0.0005049425172425496,0.0002707861351761193,-0.0004144404277515908,-0.0007213662346960821,-4.031668528720419e-05,-0.00026951169517512125,-0.0009193592610245105,0.00034078361398618063,-0.000818517126996691,-0.001433786410052562,-0.0003896708588096467,0.0006622961324562008,-0.0007527460296842037,0.0018320649334782509,0.0002469631823866318,-0.0008516512316418812,0.0013461059272231075,0.0014298171518021263,-0.0008071630342480299,0.0036961183568564593,-4.38519346062094e-05,-0.001421124883442341,0.001257339702715399,5.118979242979549e-05,-0.0003343546714556093,0.0005550018774556519,4.4173813269784055e-05,-0.0004816901717276778,0.0006110158229906422,0.00010082265847207357,-0.0010954586848432276,0.001162036893462452,0.0002117952584133794,-0.0003776847229649623,0.0008617866100394168,0.00040260965276199084,-0.0003069113634410314,0.0012575550800344596,-0.0007535785553045571,-0.0015486808353064893,-0.00015759196297343182,-0.00032549343692759675,-0.0008101029457369199,0.00013094220727604574,0.00024779224865293753,-0.0001725189418114799,0.0008011903664737476,0.0003387412555942622,-6.415910963066076e-05,0.0008421474747592584,0.0006716241089937588,-0.00011110740306321527,0.0016120091614235824,-0.00035093585029244423,-0.0020252918654781143,0.001453130597656128,-0.00045814772117106867,-0.001075835549393863,0.0001682542118942367,0.00012635846117821833,-0.0009122993042789555,0.001074976384067365,1.3714321539737284e-05,-0.0008874461011146195,0.0011023265315695124,0.0002476492081768811,-0.00022703080109446694,0.0007354159944952699,-0.00017141671075175205,-0.0004653113743794771,0.00015882385875253633,-0.00043426469589273137,-0.0013396923224111863,0.0003404210726633514,-3.651431810188418e-05,-0.00020040286841928415,0.00013644895443576396,5.962072949235638e-05,-0.00028105657790244244,0.00037966754292331946
2,24,0.0020051313719401755,0.009078895513084717,-0.00036564765468938276,-0.0010166278698913326,0.0002999794513622572,0.00028243274816001457,-0.0011536952585932644,0.001616713933860107,-9.07050707610324e-05,-0.0006398959307261975,0.0005871426715505856,0.004772934888023883,0.0026943420612951744,0.006972056256684785,0.0003318766030133702,2.5100385816282754e-05,0.0007570538535219386,0.00021325188087454686,2.6600588898872964e-05,0.00044185446361855917,-9.309802893161152e-05,-0.0008207672735807137,0.0005382766033411221,-0.0012444311287254095,-0.0024315379559993744,0.00016205464877809092,-0.0012165619409643114,-0.0022929553442130176,-0.0002795180252481562,0.0006193472072482109,-0.0002808686505886726,0.0015914824674837294,0.0003617708449989247,-0.0003699984556684891,0.0011259321336789677,-0.00035902993598332006,-0.001538851218841349,0.0007186119279746589,0.0012460337772305745,-0.00011221751028642756,0.002689432504606278,-0.001029286562697962,-0.0016979031415151743,-0.0003267044907261149,0.0006586134065097818,4.8084301912846675e-05,0.0012363348309008871,0.0003388794284546748,-0.0004094607652708267,0.0012037584196756754,0.0004096896227565594,-0.00012680803016943779,0.0009666716758147233,-0.00012389759649522603,-0.0009618417008217269,0.0006874678923243968,0.0005816782941110432,2.5395101632360222e-05,0.0011351119746905172,0.0008601081232579114,-0.00030545668560080227,0.0018252546796550936,-8.410324274639909e-05,-0.0007223299357671446,0.0004790289766485027,-7.196311829223608e-05,-0.00033322115208041697,0.0003209446461672391,0.00023571093333885074,-0.00030851873161736877,0.0008327479651294808,-0.0005432992475107312,-0.0012070777103266057,4.2803041045166035e-05,0.0007272969135859361,0.000145488788257353,0.0012291701459616893,0.0009627488810413828,0.00014712538153010732,0.0016887146618197828,0.0004795049680978991,-0.0001116364695917582,0.0013161151406166029,0.0004393779090605676,-0.0005691567964580221,0.0013345119698594016,0.00018546629386643568,-0.0001566119412018452,0.0005647293025200877,5.878401376927893e-06,-0.0003849439024634193,0.0003871053697366734,0.0004999917970659832,-2.177569088720095e-05,0.0010571016132113681,8.832611880886058e-05,-0.000504599513321106,0.0006719340114311006
3,24,0.0009421991805235544,0.014913339468572909,0.0002713547825502853,-0.00022480477515879707,0.0008107594752800655,0.00031167247410242754,-0.00028159935463918374,0.0008755694953530718,0.0019243486846486728,0.0010032891276447722,0.0031066214355329677,0.00010771950474008918,-0.0004918559575647426,0.0006819936803367456,0.0002004099660553038,-0.0007084943553005966,0.0010632245319963356,0.0002641069586388767,-8.485327125526964e-05,0.0005639621735705684,6.5461645135656e-05,-0.00018725819997295425,0.0002847634567539597,-0.00030010494325930875,-0.0007993686607126923,0.00024005632585613094,-2.6606809115037322e-05,-0.00033903665583541925,0.00022294317241176035,-0.0007223005716999372,-0.0016974413032585288,0.00011052404806832824,-0.0006288081834403177,-0.0015379409029264933,0.0003356570174219087,0.007900234195403755,0.0011416718994344897,0.014663023325071365,-2.13633199261191e-05,-0.00018163565103653429,0.0001000500772230832,-0.00024174210072184602,-0.000450728335029756,-5.500197645839459e-05,9.530237002763897e-05,-3.6544678368954917e-05,0.00022496494905984346,6.86589070634606e-05,-6.962955000441676e-05,0.00018498432424773152,0.0011686000361805782,-7.656369501394985e-05,0.0020734483355530154,0.0003890715209612002,1.5697666822234178e-05,0.0008003952740788616,0.0002610146378477414,-0.0005983970884699375,0.0010190514708786702,7.281225407496095e-06,-0.00018095903609112915,0.00018546874307503458,2.318304420138399e-05,-0.0016480639314977452,0.00202804560394725,-3.399269189685583e-06,-0.0012352186027176988,0.0012322307379993927,-0.00019026897886457542,-0.0007511441600703013,0.0004572380964721865,-0.0005286930439372858,-0.0011998146408586762,0.00023992772233517222,-0.0007921947011103233,-0.001470591740508098,-0.0001334166547167114,0.00023581716232001781,-0.0012363141472936452,0.0016362173436694628,-0.0004384047254764785,-0.001431595166650368,0.0006886724198314683,0.0047831970926684635,0.0021457749831218583,0.007118117775826249,-0.0010038967593573034,-0.0018135830590229791,-0.00025653520424384597,0.0011768461069247376,-0.0008315055310958996,0.0029037215829400037,0.00012459867866709828,-0.00017947282394743523,0.0004808189568090409,0.00043224388112624484,-6.200797397468704e-05,0.0010223492370035577
4,24,-0.003858708000431458,0.014905183452356141,4.722346299483131e-06,-0.0004946215765206337,0.0005207823532449161,0.0007269256287448419,-8.673285835053924e-05,0.001843161858657065,0.001665424332410718,0.0007844910605247909,0.0023833635901003925,0.003284127451479435,0.0010721900209318847,0.005391166753058014,0.0002235413509576271,-0.000891863686653475,0.0013274096170789568,-0.001607275742571801,-0.002797530831594486,-0.00029284755873959463,0.0006699009924583758,-0.0003901165150940263,0.0013824042203244365,0.00031383343593915924,-0.00016899494233560592,0.0008896145671921356,0.00025809291400946677,-0.00047772266819568664,0.0010356905055232345,3.614238933854116e-05,-0.00021555716139118883,0.00030623098470338546,-0.0013501006178557873,-0.003994032364183416,0.0016565827109540506,0.0003187915669210876,-5.2527391138331344e-06,0.0006995837332700224,-0.0008503944797363753,-0.0014290878611063818,-0.0001540548342745747,-0.0019047732930630445,-0.004498638348498692,0.0004393648841263116,9.018955461215228e-05,-0.000533936664093441,0.00080343182477615,0.000779625076878195,9.108470670374425e-05,0.0015840920910704887,-0.00026901497039943933,-0.0021983389277011158,0.001872454141266644,0.0012253464568251122,-0.0001614754658172993,0.0029561635611268394,0.0011944994718457262,-0.0008738367895906171,0.003158434701617807,-6.551662227138877e-05,-0.002271101678585789,0.0022100001466848584,0.0003566722880350426,-0.00026744201810894686,0.0008720797856464444,0.0032712573204965643,7.351903720215599e-05,0.0067869803814877136,0.004075240668801901,0.0024787998325336955,0.0056087600220052995,-0.002030446625819119,-0.00305787216675526,-0.0009603796820253286,-0.00018619114174119508,-0.0005613587342547058,0.00028038390155415993,-6.242665889052053e-05,-0.0008876716953333622,0.0006376009538750323,3.964827434780697e-05,-0.00022718427656703472,0.0003347950211415689,-8.312407953781076e-05,-0.0004830681291726554,0.0002151945956332687,0.0010701544621648889,-0.0008719015454213756,0.0030108104974109063,0.00031307358100699884,-0.0010685323953415111,0.0017048387504473796,0.0005166459110720704,-0.0003707445939653553,0.0013772641626322488,0.002880592209597429,0.0012274713789035257,0.004433859358444655
5,24,0.014943495392799377,0.018212308762789082,-0.0030912679115620754,-0.005313468406772396,-0.0008037166859139686,0.0012442345226493974,-0.00011710594505226844,0.0025242499706412984,0.003213109084754251,-0.0010430162544556273,0.006156689910858404,0.0010029563466863085,-0.0008092344673059414,0.0027076620783191177,-0.00038412514065081876,-0.0007469989019834126,-4.9276953601899235e-05,0.002456305553399337,0.0012672599790676032,0.003780863594026111,0.0013143243462157745,0.00037481840602898356,0.002233383718703408,-0.00043933375854976475,-0.0017253171874472173,0.0006667430311305605,-4.473377096777161e-05,-0.001079263583718178,0.0010906642933453743,0.0003528125137866785,-0.0011569519779489686,0.0018130269974790281,0.0009688917343737558,0.0003658072733135972,0.0017475898929357452,0.0002567794581409544,-0.0002956364691878358,0.000864748202729971,0.00037420238368213177,-0.00036619770932399355,0.0011503032137018942,0.00031300238333642483,-0.0006135336618172004,0.0011043825300779042,-0.00012531501124612987,-0.000769163168539914,0.0005507520130777268,0.00012827673829936734,-0.0005798914120532572,0.0008823790763320486,0.000624011872181048,-2.0705495747576747e-07,0.0010769282012915939,0.0007629473693668842,-0.0006591242670159166,0.00218033282920563,0.0009249785992627343,-0.0007940239166297639,0.0027770884888013827,-0.0002401588960007454,-0.000792647160536338,0.00022308821547388415,-0.0005447228516762456,-0.003275482757211042,0.0019853092739746604,0.00426325318403542,0.0023367353501574446,0.006227714200213086,0.0010271894085841875,0.00020981403649784626,0.0018626358806310844,0.0006911043553069854,-0.0002571854858009222,0.0015412423617817696,-0.0006450864408786098,-0.001143505451909732,-0.00011692715076302794,0.0001801947122051691,-0.00037075062597674937,0.0006439995477800647,-0.00030312794357693446,-0.0010572258184159485,0.0003280074539361523,-0.00019431503703041622,-0.0008813839125650702,0.00045179779699537924,-0.0015330446379569669,-0.002447779058032514,-0.0007128510716332433,0.003681525510425369,-0.00013346821433515287,0.006927412916896477,0.0005456755558649699,-0.0020445684664688693,0.003254379102630386,0.0014317645303284128,-0.0013137453386055614,0.003522122648913258
6,24,-0.017313633890201647,0.010595055934876049,0.0053607414398963256,0.0029762823891360314,0.0077553515434071124,0.004712380759883672,0.0027712138180504553,0.006586048817553092,-0.0008375110143485168,-0.001727398043779734,0.000183818676062705,0.005326109783103068,0.002707761426669701,0.008784962319380914,0.0014647389762103558,0.00023659225844312458,0.0028525427662922697,-0.003450220392551273,-0.005725482265309741,-0.001171061246714089,-0.0009466763585805893,-0.0022046507913425256,0.0004025418010617919,0.0028613947797566652,0.00046183825664532685,0.005785455058018366,-0.0018412366916891187,-0.003361681395957324,-0.0002533861317109161,0.0018022007813366752,3.104859303372608e-05,0.0040145508493878886,-0.005067463401549806,-0.006090720662420305,-0.003907585713022853,-0.00043245066384163994,-0.002291829321863285,0.001388338316367784,-0.0018931238834435742,-0.002906851170700975,-0.0009388350241351864,0.0006421284730701397,-0.00017006406196742318,0.0013488586034024292,0.0013563195631528895,-0.00018878379972496378,0.002782130096845019,0.0021607609232887626,0.0009079552110051736,0.0033968233842945968,0.0003764428014013295,-0.0012467378292058129,0.0018630169117386688,0.000547138275578618,-0.0020561475908228506,0.0031917318100264927,-0.0030695939591775336,-0.005208500857891825,-0.0010548306978307664,-0.0016137639759108424,-0.0027597959172756723,-0.0005301599740050733,0.004014651485097905,0.0006751173554221169,0.006891973924939521,0.001580917812437595,0.00031978959456561523,0.0028505202230007854,-0.0008547315762067834,-0.0023022671817064595,0.0004272486204475477,-0.0006362205119027445,-0.002155144686548738,0.0010606309112821091,-0.000432556572680672,-0.0018031796003924684,0.0008512442039015392,-0.0008748185840280106,-0.0022740409408773606,0.00029325650806034335,-0.0038151716580614448,-0.005492064811793777,-0.0019021011821071926,0.0020105205088232956,0.00030787801175999145,0.003599943219160196,-0.00248276968098556,-0.0040157486412984635,-0.0007007075502770019,0.00282220330943043,0.001082949807459954,0.004574314112445185,-0.00011229475300448637,-0.0009580742667215721,0.000721692170191091,0.0019170099403709173,-0.000224227014890251,0.0037266904269927185
7,24,-0.013960587792098522,0.0003120169215738618,0.0002775127359200269,0.00014979351350727181,0.0004416823025773435,-0.001202522738215824,-0.001722454525588546,-0.000605096329915492,-0.0019120904034934938,-0.004315899336264314,0.0002780756908274877,-1.748030384381612e-05,-0.00156891658261884,0.0017988671461353078,0.00010170354895914595,-0.00012494946568040175,0.00028632470396890614,7.058474390457074e-06,-0.00014612842423957772,0.00017139495636608155,0.00043213984948427725,9.828269309461271e-05,0.0008184289141354384,-0.00032441191918527085,-0.0005786487376705433,-9.519889924073742e-05,0.0013512919540517032,-0.0005248516424520252,0.0033784109279319336,-0.0010382994466150801,-0.0040069104764067255,0.0018229385459562764,-0.002359794258760909,-0.004645763302687555,0.0004216432891553276,0.003450033332531651,0.00041941483408057447,0.00654126227309462,-0.0006327639372708896,-0.0019073855694538603,0.0007213012882857585,0.0001990765352578213,-0.00040653433485810333,0.0007274410363606877,0.0002476933926421528,-0.0002538633435809364,0.0010069402686591882,0.0002540321632598837,-0.003680771908451182,0.005355610177502971,-0.00020454242864313224,-0.000372140527300265,-2.1830594899559664e-05,-7.57188827265054e-05,-0.00023719613139595215,7.99186127551366e-05,0.0006130752541745702,-0.0002577742833333711,0.0012844887113412067,2.1100119435383626e-06,-9.888173678215631e-05,0.00012674385516220357,0.0006901734935430189,-0.00012339023063153337,0.0015570640990821025,0.001574658044167639,6.627655887617344e-05,0.0029386860295441395,0.00018946166771153608,6.098796923955288e-06,0.00037944361320114706,7.727820047875866e-05,-0.00010753017995739356,0.00024696661154545544,-0.0004083751409780234,-0.0013727232971480893,0.0009086221213995794,-3.043558293332656e-05,-0.00018221180507680402,0.00014185956218473926,-0.0012603105666736762,-0.004364755949548755,0.0013634179689688626,-0.00025212713323223096,-0.0005941624001328213,8.830358662332114e-05,-0.0004049028211738914,-0.0007639447584854982,-4.391406109789382e-05,0.00287316774968834,0.0015674954212348286,0.003890898690830606,-0.0029030665464233607,-0.004100690882963438,-0.0012608015140964804,0.0009983926235387723,-0.0005363798089092597,0.002452531887684018
8,24,0.002279257091383139,-0.0069788679635773105,-1.4176029556741318e-05,-0.0015024944732431322,0.0015341836275183597,-0.0004528537004565199,-0.001659910220769234,0.0007198075826939507,-6.0756729605297245e-05,-0.000624919256370049,0.0005145030324153296,0.0022734946105629206,-0.0016825448411206404,0.006334915099432695,0.001390163282242914,-0.00030081221872630217,0.0030080552358413117,0.0023494623989487686,0.0005700522927024092,0.00413821555460648,-0.001903778174892068,-0.006054285696397225,0.0026467947056517016,-0.003617215435951948,-0.006304605473997071,-0.00038131537342754466,0.0009907116958250601,-0.0009273150392497579,0.002949871967818278,-3.399778506718576e-06,-0.0003908138964713241,0.00042557119268167326,0.0006211362973166009,9.049724030774087e-05,0.0010982092508735758,-0.0013147129599625866,-0.003411965791989739,0.0008942108426708735,4.1899688464278974e-05,-0.0003182743041785822,0.00040142848314038323,0.0011635596359459062,0.0004542608231228466,0.002212121389554038,-0.0004299419621626536,-0.000609207161081334,-0.00024412828740120554,0.0015220973679485421,0.0008754770155064761,0.0023472206540949025,-0.00016502537376557788,-0.0003088494595431257,4.763315519085211e-06,-0.00028968631522729993,-0.0006499661101164141,0.00011182688831468121,0.0002939203647353376,6.86454208334908e-05,0.0005625392609848255,-0.000261671453093489,-0.0006274056504480541,0.00010179840489096631,-0.00029772140745383996,-0.0007277092486522936,0.000102969254658092,0.0009873464587144554,0.00045890969607474593,0.0015791051732473233,-0.00039468334580305964,-0.0006611643197781328,-0.00014083241306555764,6.730105087626725e-05,-0.00025201102228796424,0.00038449800510231103,-0.0032770899997558445,-0.006308033921474512,-0.00041268365966970954,-0.002891355058333526,-0.005365413494776779,0.0007965697824450524,-0.0002606041186178724,-0.0022003867168677973,0.0018461462575942288,0.0004289103865933915,-0.0003779250757361296,0.0012330625409958888,-0.0015770650255338599,-0.0030908688636069807,-0.00019869044554070563,-0.0007588607453120252,-0.001874694445238371,0.0005298836333774187,-0.0003663985795962314,-0.002042724689817987,0.0012479533184280931,-0.0007718750081645945,-0.0012759650926454924,-0.00019381370172292611
9,24,-0.03779960951457421,0.0031014089363452513,8.104660082608461e-05,-0.0006138211707972612,0.0007474912471176751,-3.578859226157268e-06,-0.0011051084817154332,0.0011417304257823465,0.0014748262474313378,-0.003190241971363624,0.005763383322240165,-0.002470520829471449,-0.003456714949182545,-0.001518929526597882,-0.0016950374313940604,-0.0029859204970610637,-0.0007141740206861862,-0.00011663981422316283,-0.00031774373892403676,7.632815638013816e-05,8.107019918194662e-05,-0.0002542628604714991,0.0004261224889584507,-0.00028681634527553496,-0.0006480086341980496,-2.110299719788599e-05,0.0002880872755971116,0.00017393182327699229,0.00039982922062336006,4.60991917255645e-05,-0.0002364767634086699,0.0002946380299060062,2.0531447565493483e-05,-8.669486378494184e-05,9.501448548689951e-05,-7.510203189061333e-05,-0.00032422197218693325,0.00014769479651780177,0.007418645584645371,-0.0006933219148777419,0.014550152353088684,0.0035198484159385166,0.001116750105090129,0.006167369379545562,-0.0008252630941569805,-0.0019168457251604802,0.00011070547698182102,-0.003741410851944238,-0.006881269132524418,-0.0008261642156867294,-0.00032875789717460674,-0.0008855027031434778,0.00011500344323091367,-0.0014255542385702331,-0.0022558401581288007,-0.0008206868971077103,-0.00020541518460959196,-0.0004105362245657792,3.234199151241533e-05,-1.333147520199418e-05,-0.00019229903628001921,0.00013395778805715965,0.0021185773075558245,0.0004457942714604239,0.003931888368970248,-0.0015619469340890646,-0.00782891113582688,0.004277209244901315,-0.0011371758203798283,-0.0028100564450141974,0.000570570310810582,0.0012521329335868359,-0.0015526894771028309,0.004261000856058672,2.7438281297994156e-05,-0.00023187658055879486,0.00024244886735687033,-0.0002850957486468057,-0.0005749420381713814,7.835367917626487e-06,-3.2462994568049908e-06,-0.0001737483277490052,0.00014664755969230706,4.116767862190803e-05,-0.0018146554236106263,0.0015038931737459897,0.00017737774517930424,-0.0001001002767831475,0.0004112985581135339,0.00042754349124152213,0.00017269144033586295,0.0006789523744373585,0.0001618752163873675,4.694735968466072e-05,0.0002778475808251339,0.00014003417527419515,5.8026182917577294e-05,0.00024057400993721494
