layer,head,n_pairs,mean_nll_reduction,mean_baseline_delta,mean_intervened_delta
22,7,24,0.4317120307678614,4.899908041356411,4.4681960105885485
23,2,24,0.366961134468396,4.899908041356411,4.532946906888014
22,4,24,0.2520646933956681,4.899908041356411,4.647843347960742
22,5,24,0.10933913199845036,4.899908041356411,4.790568909357961
22,6,24,0.09457874561887651,4.899908041356411,4.8053292957375335
17,17,24,0.088542962885237,4.899908041356411,4.811365078471173
20,14,24,0.08393745972439687,4.899908041356411,4.815970581632013
23,30,24,0.0481685784674367,4.899908041356411,4.851739462888974
20,10,24,0.047596753160369265,4.899908041356411,4.852311288196041
23,3,24,0.04155722302195182,4.899908041356411,4.858350818334459
22,16,24,0.019604518959057356,4.899908041356411,4.8803035223973525
22,17,24,0.0061371559562894695,4.899908041356411,4.89377088540012
23,31,24,0.003990708586185794,4.899908041356411,4.895917332770225
23,12,24,0.0035896154920693154,4.899908041356411,4.896318425864341
21,23,24,0.0020533024803077262,4.899908041356411,4.897854738876103
22,14,24,-0.004923011611202947,4.899908041356411,4.904831052967613
21,24,24,-0.010822927874022559,4.899908041356411,4.910730969230433
18,16,24,-0.025777319330620208,4.899908041356411,4.92568536068703
17,19,24,-0.1579920042726861,4.899908041356411,5.057900045629096
23,1,24,-0.20498701023354307,4.899908041356411,5.104895051589954
