layer,head,n_pairs,mean_ctrl_to_ccp_reduction,mean_ccp_to_ctrl_increase,mean_baseline_delta
17,17,24,0.14843041297069917,0.030138616659188655,4.899908041356411
22,7,24,0.07845273330415294,0.0046977059589859045,4.899908041356411
22,5,24,0.0704486634611171,0.004545231528807867,4.899908041356411
22,4,24,0.06813598663985694,0.007365295761147671,4.899908041356411
23,2,24,0.034383013636238136,0.004691704587469303,4.899908041356411
20,14,24,0.022461678643770328,0.005185983195212945,4.899908041356411
23,30,24,0.019058796915078793,0.022891539965185892,4.899908041356411
22,6,24,-0.07601676039083162,-0.00879460635841761,4.899908041356411
23,1,24,-0.07690846787273292,0.011300771047340832,4.899908041356411
17,19,24,-0.18952648280482096,0.005883710279011761,4.899908041356411
