layer,n_pairs,mean_delta_mlp,mean_delta_attn_total,mean_delta_head_0,head_0_ci_low,head_0_ci_high,mean_delta_head_1,head_1_ci_low,head_1_ci_high,mean_delta_head_2,head_2_ci_low,head_2_ci_high,mean_delta_head_3,head_3_ci_low,head_3_ci_high,mean_delta_head_4,head_4_ci_low,head_4_ci_high,mean_delta_head_5,head_5_ci_low,head_5_ci_high,mean_delta_head_6,head_6_ci_low,head_6_ci_high,mean_delta_head_7,head_7_ci_low,head_7_ci_high
0,120,-0.007112419977784157,-0.018790333500752845,-0.0003589886783932646,-0.0007948971473767111,0.0003696462209336458,-0.0005197246947015326,-0.0015920658054528758,0.00037490941079643857,-0.004058204249789318,-0.013856996511264395,0.004494826838684576,-0.01187847323405246,-0.02107980569009669,-0.0060760194292136804,-0.0006371338541309039,-0.0013414276690067103,0.0005644554741835842,-0.0020405982931454977,-0.007248779492607961,0.002499562124721704,-0.0018559523082027833,-0.0032737595141710094,-0.000672861160710454,0.0025587418116629125,0.0008569026629750929,0.004000772972746441
1,120,-0.006141438086827596,0.011452991946134717,-0.00017354087516044576,-0.001212684635829646,0.0013907482866003789,0.008477012867418428,0.005123426287706631,0.01242122473932492,-0.0010930679583301148,-0.0020349697628989816,-1.105695225608947e-05,0.001788238164347907,0.0003297596677051236,0.002794095946204227,-0.0006164721213281155,-0.0023269554196546477,0.0015155378989099178,-4.98742563650012e-05,-0.00047640411687704427,0.00048620406518845507,0.003443226769256095,-0.00022943026405603933,0.006260935706474506,-0.00032253064370403687,-0.0009397134409906963,0.00019263727221793152
2,120,-0.00018504554561028878,0.004439304229648163,-0.0011427877160410085,-0.0017928849092762296,-0.0005262888226813329,0.0002430452227902909,-0.00017800668477624035,0.000595278863038402,0.008222842786926777,0.0047883151329976194,0.011620517367264254,-0.0007384650642052292,-0.003075614014135984,0.0011766865116078402,0.00033486710162833333,-0.00010922593016099804,0.0008562706903709717,0.00015924155401686829,-0.0018634351567015984,0.0020224642241373656,0.0021588739240542055,0.0005758207271962116,0.0034930159574529775,-0.004798313579522073,-0.00780446387536358,-0.002844560576292377
3,120,-0.0011036964133381844,-0.005206124957961341,-0.0029584090923890473,-0.00504078732667646,-0.0008853936979236724,-0.002176696481183171,-0.004004303635641311,-0.0007173280978652967,0.0002523855616648992,-0.0011790383288947245,0.0016521966985116401,-0.0003313192787269751,-0.0018188390252180397,0.0011800777939303443,-0.003522646753117442,-0.008337786738605548,0.0009570257284212855,-0.0038716865121386944,-0.005379128170704159,-0.002573789572876801,0.0033068703797956307,0.0019026296997132401,0.004911797480114425,0.004095377218133459,0.002531620581673148,0.0055154657733510245
4,120,-0.0010033835656940936,-0.0026258759928168727,0.0006765411371209969,-0.00013353926774774057,0.0016321987213450484,-0.0014837667850467065,-0.0027793769056249098,-0.00015257370289570456,0.0027954209120556093,0.00040319896283714726,0.005042042863666817,0.0002435210704182585,-0.0006855192689302688,0.001290250709765434,-0.00011846882989630103,-0.0005453964100646166,0.0003068973422826577,0.004730838599304358,0.003002357401807482,0.007127758745724952,-0.008179061696864665,-0.014243745583711036,-0.0016106820090014298,-0.0012909003999084234,-0.0033424701776433112,0.000165009044188384
5,120,-0.0037897246424108745,-0.0033607040085674575,0.0019529493680844705,0.00025554550695233046,0.0031350499643788983,-0.0027542708693848303,-0.00445731159595501,-0.0013228748520001938,0.0011188769324993093,-0.003100578155911838,0.004471066012241257,0.0008299167772444586,-0.0003116334873872499,0.001960064588153423,0.003512586032350858,0.0013840731109182039,0.006151948925107716,0.006421123868009696,0.005130989790777676,0.008132036004972178,-0.01751936769966657,-0.022392769307868245,-0.012538926651759548,0.0030774815822951496,-0.002506160301854834,0.006892843536916185
6,120,0.005519637434432904,-0.020275967572039613,-0.004095014929771423,-0.010743297785520554,0.004271447792028387,-0.0009730385383591056,-0.0034459358665238442,0.0018835620378376899,-0.001524161236981551,-0.00313063828041777,4.1907822402814906e-05,-0.0016431126394309103,-0.0029504953146291275,-0.0004803527029192403,-0.002259475396325191,-0.0033252085054603715,-0.0010494234777676578,-0.01041177730076015,-0.01241010292006346,-0.007854915890008368,0.012539146343866985,0.007549114443051319,0.01814242051720309,-0.011908533874278267,-0.01625342995238801,-0.007320229595837503
7,120,-0.001878988395522659,0.013990903123825168,0.004593958278807501,-0.005280692386440933,0.019009507130831476,0.011791404786830146,0.00402225964392225,0.021390827832704712,0.005949482059804723,0.0012994925145661303,0.009617015529462754,-0.006232395768165588,-0.015022152405193386,0.002828295163538613,-0.011397064073632161,-0.015037724601958567,-0.008397814211881877,0.008143053320236505,0.004988194981124252,0.010640998914022929,0.0004781260232751568,-3.5386297192114095e-05,0.0009118226830226678,0.0006643384966688852,-0.0008727790805278345,0.0025991104021280374
8,120,0.0246425403165631,-0.022498921564935395,0.005206215789075941,-0.001479547507963919,0.009818859233152273,-0.025588690089837957,-0.031487600884283894,-0.01957328541922228,0.00047991888131946323,-0.0002510899150123199,0.001290815072522188,0.03976832901438077,0.02847939474896217,0.05125501436957468,-0.047718669699194534,-0.05903064375374621,-0.035458481974977384,-0.007592284353449941,-0.01686641996668186,0.0020359720842679794,0.010077770799398422,0.007407385382878905,0.013084922849278275,0.0028684880933724346,2.1552000544034313e-06,0.005441785791384367
9,120,0.007074191949019829,0.06339597130039086,-0.001873832211519281,-0.003924801769899204,0.0003573958796914654,-0.007939785435640563,-0.015166127355478239,-0.0011582588144422904,0.055665389991675814,0.03130213045864366,0.08170560088396693,-0.050133276459140085,-0.057663195543185185,-0.04090770077911051,0.016690837995459635,0.010554750754963607,0.024169667553311833,0.005722232989501208,-0.00012662555430627734,0.012837749547034032,0.008468574044915538,0.005167677165203107,0.012701299010465543,0.03679583038513859,0.03058778966932247,0.04395679313456638
