layer,n_pairs,mean_delta_mlp,mean_delta_attn_total,mean_delta_head_0,head_0_ci_low,head_0_ci_high,mean_delta_head_1,head_1_ci_low,head_1_ci_high,mean_delta_head_2,head_2_ci_low,head_2_ci_high,mean_delta_head_3,head_3_ci_low,head_3_ci_high,mean_delta_head_4,head_4_ci_low,head_4_ci_high,mean_delta_head_5,head_5_ci_low,head_5_ci_high,mean_delta_head_6,head_6_ci_low,head_6_ci_high,mean_delta_head_7,head_7_ci_low,head_7_ci_high,mean_delta_head_8,head_8_ci_low,head_8_ci_high,mean_delta_head_9,head_9_ci_low,head_9_ci_high,mean_delta_head_10,head_10_ci_low,head_10_ci_high,mean_delta_head_11,head_11_ci_low,head_11_ci_high,mean_delta_head_12,head_12_ci_low,head_12_ci_high,mean_delta_head_13,head_13_ci_low,head_13_ci_high,mean_delta_head_14,head_14_ci_low,head_14_ci_high,mean_delta_head_15,head_15_ci_low,head_15_ci_high
0,120,0.052102537949879964,0.06721323947422206,0.0235986165702343,-0.009622186965619525,0.05769995297305283,0.0008850211277604103,-0.10041692350214967,0.09625245538850609,-0.027708708122372628,-0.038416976993903514,-0.018068700221677624,0.000256459911664327,-0.033549750410020354,0.04360846083611248,-0.0036371673457324507,-0.010424211972082655,0.0021641803105982593,0.03277490126589934,-0.00236970123834908,0.05836021542549133,0.01616093299041192,0.009993722356545429,0.02448052617333208,0.013967153492073218,0.0028979944779227176,0.02496484537608921,0.0081335567869246,0.0037029225518926978,0.013071304878685616,0.0031462548300623893,-0.013405585476818185,0.017322001834399987,0.004300478442261616,-0.013036952002051596,0.02121502130408771,-0.006449539493769407,-0.01724110380591204,0.00427406424423679,-0.010148633271455765,-0.018267205053319534,-0.003247546735219658,0.008181548460076253,0.004276818641616652,0.01175212639306361,-0.002353398920968175,-0.005488015466447299,0.0006609707946578658,0.006105762751152118,-0.00040135187640165284,0.014802724547528965
1,120,0.09382195584475994,-0.030398725184689588,0.0007147770064572493,-0.004640866012778133,0.0064494793590468575,0.002907314186450094,-0.0008335986561723984,0.005344563845525651,0.0003057292487937957,-0.0007405545589669297,0.0015775851308232323,-0.0021971784260434407,-0.003126196121108175,-0.0013719491111017614,-0.011152537167072296,-0.03123016777137915,0.006802572961896652,-0.0058794560221334296,-0.011087436055143673,-0.0009261209649654748,0.003183596410478155,-0.00024983634551366165,0.0062982718200267586,0.007245220306018988,0.002692127441211293,0.011056344023284807,-0.00073042488268887,-0.003010841789267336,0.000997675278340465,-0.001533411101748546,-0.0036786493783195814,-4.962330606455606e-05,-0.0032569094095379115,-0.009151612499263138,0.0018055988273893786,-0.02410180993222942,-0.038349523029755805,-0.012116833688924094,-0.0008306428013990322,-0.001258773483762828,-0.00025563962971015554,-0.0004966422178161641,-0.0015031630179146306,0.0004132693272549655,0.0012655139590303103,-0.0005735472923455139,0.0038554169260896715,0.004158135658750932,-0.002811178370999793,0.010327065667758383
2,120,-0.03503562062978745,-0.012799044294903675,0.0013972962119927009,0.00012196570169180632,0.002427085826639086,-0.00070176151736329,-0.002798705218010582,0.000970028605273302,-0.0004992629944657286,-0.0011909254411390673,0.0002142636988234396,0.0015925111559530099,0.0006310364974585051,0.0027642740356774685,-0.00041202863988777004,-0.001675225329430153,0.0014096391344598168,0.0006887194700539112,-0.001015528334925572,0.002344110965883979,-0.0009532141809662183,-0.0032975683361291886,0.0009449186036363227,-0.001269069438179334,-0.007228178617854913,0.004111414630897337,-0.002022901363670826,-0.005760654945236941,0.0001939525160317613,-0.005294766991088788,-0.007017879194269577,-0.0029965135501697666,-0.0015707770983378092,-0.0024059174011927097,-0.0008203728174945966,-0.0012944135349243879,-0.003177656075373913,0.0007917981230032939,-0.0004404243314638734,-0.0009499490018545961,0.00021531417519630137,-0.0018633889500051736,-0.003637143724675601,-0.0002573560865130275,-0.0004534027228752772,-0.0010859983212624987,0.00043819239945150785,0.0002978406303251783,-0.0008315885480260476,0.001680105885801214
3,120,0.05610784490903219,-0.003462346784848099,0.0003964906674809754,-0.00032172862362737453,0.0009525502934896697,0.0017505105002783238,0.0006740277500163454,0.002854059639406235,-0.0019822074643646675,-0.005592413128664097,0.00240581623200948,0.0026862690186438463,0.0015302425133025585,0.004320075851186021,-0.0008201709327598413,-0.0013035272866060647,-0.0003196117158707542,-0.0006643641235617299,-0.0027363359211206744,0.0010326763690682113,0.0029806965806831918,0.0010948481825956455,0.00428064228966832,-0.0022028288959215084,-0.0037728183413855733,-3.1953266200920326e-05,0.006710054414967696,0.004340531372775634,0.009619867124905188,-0.0009631331272733708,-0.0019226495772212123,0.00015548970336870595,-0.0011170161422342062,-0.003390380864730105,0.0014032945618964712,-0.0010845742421224714,-0.0021492727706208825,-0.00018986825753624254,-0.004437799612060189,-0.006902183015287543,-0.0013201324269175594,-0.0032090716529637577,-0.0042130591444826376,-0.002279249312511335,-0.00026130359425830343,-0.0004999089021293912,-7.474672117192966e-05,-0.0012438981793820858,-0.0033944367372896523,0.00022464687353931342
4,120,-0.017566578897337117,-0.011477129337921117,-0.010414069755158076,-0.013669828278555845,-0.007017614435365736,-0.01255999735246102,-0.01991664608630041,-0.00517844492569566,-0.0020275299320928752,-0.004303276869274365,-0.0003393084071770622,0.003887802067523201,0.001330558944415922,0.006696799632627508,0.008604187270005543,0.00033887690883905946,0.016055707233026607,-0.0003229480954663207,-0.0011252840158704203,0.0002504206820352312,0.01732685659080744,0.008163747476840703,0.028279585806885735,0.00039429117944867663,-0.002784082153472506,0.003218995260782927,0.0008744991578472157,0.00010539998096646741,0.0018018798889049012,-0.0022608317153450723,-0.003770176030108511,-0.0008528693420763983,-0.005515056646739443,-0.011525069220612447,0.0014863703136021855,-0.0047976151729623474,-0.006452220069089284,-0.003079781936636817,-0.0006599203372995059,-0.0023091541285005708,0.0008114521640042457,-0.0017174348700791596,-0.002342086882757333,-0.0008307263468547418,-0.002347943887192135,-0.004559876352529197,-0.00037385976756922984,5.85821612427632e-05,-0.0018747426185291261,0.0022902609103281663
5,120,0.01261921152472496,0.05810380554563987,-0.0024004635556290547,-0.003662706525453056,-0.0012389240270325294,3.077154591058691e-05,-0.0008701130071616111,0.0010602017150570947,0.0053264309535734355,0.002098864350215687,0.009247573502361769,0.00719047769283255,0.003181014247238636,0.012026862504426387,0.0019404692846971253,0.0005621255445294082,0.0032502553408266972,0.004506310905950764,0.00016246561232643824,0.00802426514623221,-0.011465689920199414,-0.02369280056717495,5.331316885227465e-05,0.002214146335609257,0.0008065856442165872,0.0034680520320155956,-0.009025038142378131,-0.01334799702007634,-0.0027958635516309492,0.030765752036434908,0.015158234384919827,0.05232107204637334,0.011091801357300332,0.0069656985184216565,0.015149880481573442,0.0012974797107744962,0.00015490590720825518,0.0026821392701822317,0.0009057322866283357,-0.001935827974957647,0.0037659978005103755,0.011414914190148314,0.007732326931242521,0.01592393339301149,0.00023978980801378686,-0.0002773905130258451,0.0008126659177166092,0.004070921055972576,0.000968169750024875,0.006830942889209837
6,120,-0.023760252135495343,0.07607114504110844,-0.0009444312270109852,-0.004395217170822434,0.0016402407205896407,0.002196458758165439,0.0013177494686290932,0.0032999240975671758,0.022534407131994765,0.006121111715813944,0.036042754409039236,0.0013289341509031753,-0.0016223363950848579,0.004561185547693942,4.9971887104523675e-05,-0.0005481586722938421,0.0007367068226934253,-0.0008286046717936794,-0.0021705278071264427,0.0003288213390624148,-0.005426134324322144,-0.010587181934194329,0.0013913284795125898,0.014303188945632428,0.005415793385279055,0.022677473203705917,0.012170162160570423,0.005909106284962036,0.018500914148947535,-0.001787855860311538,-0.003203257991214438,-0.00028756830317434,-0.0015514217006663482,-0.002301091713597998,-0.0007582072213214513,-0.00325441030630221,-0.005755696079868358,-0.000703045737463981,0.037163628893904385,-0.006579160732217132,0.09442819583986409,0.00321404030546546,-0.003573268431549271,0.010109078842991339,-0.003190511166273306,-0.004561395294925509,-0.001895405489388699,9.372206404805184e-05,-0.0009727019825853251,0.0010239786023642711
7,120,0.0008277791862686475,0.0018247724316703777,-0.000828835282785197,-0.0016686892930495862,0.00019672732159961,0.00024404764408245683,-0.0008114955867252623,0.001055369961444133,2.3549733062585194e-05,-0.0009462033307257419,0.0011035235425030496,-0.0037653781570649394,-0.007027256332657998,-0.0006053582111781011,-0.0036288642634948096,-0.005568460152232243,-0.0006786129414103932,-0.0008261472530042131,-0.001983510447704854,0.0003045282004556306,0.01094857812471067,0.005339709978725296,0.015770091191807292,-0.0007124996026201795,-0.0013086293534919,-9.791937545135936e-05,0.0014722388470545412,-0.00015720796790750073,0.0036112382472492733,0.003934978709245722,-0.0034631177034073818,0.0094289432252602,-0.0003190539311617613,-0.0006406953030576308,6.726782710757096e-05,-0.0027618156746029854,-0.0037000388345525908,-0.0017768030291578428,0.00657797371968627,-0.0015995045704767109,0.014986097523942586,-0.005195930561361213,-0.015780166776579185,0.002338964389443084,-0.002952925038213531,-0.011460976829597106,0.0048027748113963625,-0.00038514458186303575,-0.0018060112139210104,0.0009780663977532317
8,120,0.0033374615013599396,0.10473185364971868,0.00039249294398662946,-0.0016378477908438071,0.0020593518060438025,0.001820814310728262,-7.185794849647208e-05,0.003706829123257193,-0.004190145673540731,-0.03498438761065093,0.02818972625323413,-0.004313616695192953,-0.00686631732484481,-0.001844690326252022,-0.0016540108791862926,-0.002908380532753654,-0.0005657685596573482,0.0005143992486409843,-0.002020495794422459,0.0034100743057206262,-0.0059671482226500904,-0.009666959518411506,-0.002112772639957263,0.0013348001967339465,-0.002303551112563582,0.004538095648895251,0.004510540253249928,0.0013137127799078977,0.009671319081486824,-0.00017974569151798885,-0.002390502361910573,0.0028111619431486655,0.07073970803370079,0.057382501266547474,0.09114375242323149,-0.01102610407785202,-0.01916868548685064,-0.004000964358953461,0.009808186177785198,0.0005451895187919339,0.018627301744418217,-0.0010178596712648869,-0.004519800298730843,0.002117625385678058,0.04039315838987629,0.03503736141176584,0.04600202816713135,0.003566385006221632,-0.002290154565125704,0.009727194909355598
9,120,0.010078024266598125,-0.00967203964246437,-0.044028394289004305,-0.05668108352537577,-0.033437767594975104,-0.013639494893141091,-0.028705409433071812,-0.0017941847835512307,-0.014428348614213366,-0.018719319560138198,-0.009764595791542282,-0.003906703717075288,-0.005314595022161181,-0.0027405575466885558,0.0018633639439940453,-0.0010655638788981984,0.004730089472141115,0.005083506569887201,-0.0025616453227121382,0.012245255337717626,0.009961751588465025,0.0036299883902150515,0.017240998752046523,-0.011665286682546138,-0.03845072905455406,0.031174769661156454,0.0007078063286220034,-0.0008373820751633805,0.0020525877063725276,0.009431484446395189,0.0006456974342775844,0.018846480035572308,0.014672934434687097,-0.0022726867720484732,0.028740962318843228,-0.01247435996386533,-0.016075439514534082,-0.008466301927498233,0.005209982014882068,-0.0085961619069955,0.02088058474551265,0.0313738944940269,-0.0010715446535808344,0.0577393841813318,0.007499156818569949,-0.0013461320995702408,0.015419219693382424,0.004666667877851675,0.0004922834630512324,0.009641370693182879
