layer,head,n_pairs,mean_nll_reduction,mean_baseline_delta,mean_intervened_delta
24,7,120,0.12853288281555478,6.140433789207846,6.01190090639229
23,5,120,0.09252010183127754,6.140433789207846,6.0479136873765675
38,14,120,0.038310153457350664,6.140433789207846,6.102123635750494
30,6,120,0.009584565181852099,6.140433789207846,6.130849224025993
12,2,120,0.009023746648423437,6.140433789207846,6.131410042559422
38,4,120,0.0020208441838364833,6.140433789207846,6.13841294502401
33,4,120,0.0012625714141711831,6.140433789207846,6.139171217793674
32,13,120,0.0009080159080107578,6.140433789207846,6.139525773299835
36,0,120,0.00023843497626645783,6.140433789207846,6.140195354231579
39,0,120,-0.0003791001982047665,6.140433789207846,6.14081288940605
29,1,120,-0.0005972332938695794,6.140433789207846,6.141031022501716
34,11,120,-0.0014148950407338828,6.140433789207846,6.14184868424858
39,11,120,-0.0017874121218698783,6.140433789207846,6.142221201329716
22,8,120,-0.004135559160977651,6.140433789207846,6.144569348368822
38,1,120,-0.0077447449224067565,6.140433789207846,6.148178534130252
31,1,120,-0.007817556313790002,6.140433789207846,6.1482513455216345
37,4,120,-0.018917798658180662,6.140433789207846,6.159351587866026
38,15,120,-0.036735935436196084,6.140433789207846,6.177169724644042
24,4,120,-0.18120488068960725,6.140433789207846,6.321638669897452
26,8,120,-0.3096714033767328,6.140433789207846,6.450105192584578
