layer,n_pairs,mean_delta_mlp,mean_delta_attn_total,mean_delta_head_0,head_0_ci_low,head_0_ci_high,mean_delta_head_1,head_1_ci_low,head_1_ci_high,mean_delta_head_2,head_2_ci_low,head_2_ci_high,mean_delta_head_3,head_3_ci_low,head_3_ci_high,mean_delta_head_4,head_4_ci_low,head_4_ci_high,mean_delta_head_5,head_5_ci_low,head_5_ci_high,mean_delta_head_6,head_6_ci_low,head_6_ci_high,mean_delta_head_7,head_7_ci_low,head_7_ci_high,mean_delta_head_8,head_8_ci_low,head_8_ci_high,mean_delta_head_9,head_9_ci_low,head_9_ci_high,mean_delta_head_10,head_10_ci_low,head_10_ci_high,mean_delta_head_11,head_11_ci_low,head_11_ci_high,mean_delta_head_12,head_12_ci_low,head_12_ci_high,mean_delta_head_13,head_13_ci_low,head_13_ci_high,mean_delta_head_14,head_14_ci_low,head_14_ci_high,mean_delta_head_15,head_15_ci_low,head_15_ci_high,mean_delta_head_16,head_16_ci_low,head_16_ci_high,mean_delta_head_17,head_17_ci_low,head_17_ci_high,mean_delta_head_18,head_18_ci_low,head_18_ci_high,mean_delta_head_19,head_19_ci_low,head_19_ci_high,mean_delta_head_20,head_20_ci_low,head_20_ci_high,mean_delta_head_21,head_21_ci_low,head_21_ci_high,mean_delta_head_22,head_22_ci_low,head_22_ci_high,mean_delta_head_23,head_23_ci_low,head_23_ci_high,mean_delta_head_24,head_24_ci_low,head_24_ci_high,mean_delta_head_25,head_25_ci_low,head_25_ci_high,mean_delta_head_26,head_26_ci_low,head_26_ci_high,mean_delta_head_27,head_27_ci_low,head_27_ci_high,mean_delta_head_28,head_28_ci_low,head_28_ci_high,mean_delta_head_29,head_29_ci_low,head_29_ci_high,mean_delta_head_30,head_30_ci_low,head_30_ci_high,mean_delta_head_31,head_31_ci_low,head_31_ci_high
0,120,-0.08561079601446787,0.061938521766569464,0.0019318970618769527,0.0006865086901234463,0.0032182312409471097,-0.0034684597902620833,-0.006562591742840596,-0.0004241619288222889,0.005094830195109049,0.0031418439691575863,0.00745511267799884,0.0011272065962354342,-0.0018609836391018082,0.003848703787274037,0.011122151277959347,0.009055153044561545,0.013241192692269881,0.0017571143456734718,-0.0007147725424147211,0.00392544833681313,0.0037487351801246405,0.0011266888220173618,0.006778110165614634,0.01756868613883853,0.006048085218838727,0.027691024303979548,0.00021888009117295346,-0.0028256214142311363,0.002321764174460742,0.00028112091434498627,-0.0014397508581168949,0.0020231117843650236,0.005294022833307584,0.004241121872328221,0.006297777094878254,0.008353287990515431,0.004795176437473856,0.011901146299787795,0.01177869231129686,0.007846438561488565,0.014549583691017077,-0.0036007278909285863,-0.0045794531607922795,-0.002694834956006768,-0.0003439433562258879,-0.001672890056312705,0.001219223984517157,0.005092966028799614,0.0039950353353439515,0.006037818931508809,2.590225388606389e-06,-0.0025342726431942233,0.0020770304316344353,0.004599115865615507,0.0028516291064443066,0.006259982416522689,-0.01133694387972355,-0.012618746017105878,-0.00973479442143192,0.0045659858578195175,-0.0011765242841405173,0.008280174858324846,0.00018679327331483364,-0.0016119132332581406,0.002543471126894776,-0.007971021858975292,-0.016131369301195568,-0.0013222462163927698,-7.326640964796145e-05,-0.005550677376061988,0.004365188711672089,-0.0025026009728511176,-0.003926091870913902,-0.001106430485378951,0.005223965202458203,0.0015018396681019416,0.008750646889869434,0.0031806692636261384,0.0007882207424457496,0.005036848994980874,-0.004647959799816211,-0.005208214019269993,-0.0040030386896493545,-0.012920998657743136,-0.014616661434993147,-0.010927635661015908,0.000978325012450417,-0.0024834081171623743,0.0052957900029529485,0.0011025833198800683,-0.00022942270249283562,0.002283013320799605,0.0008545629680156708,9.474063951832553e-05,0.0013380995074597495,0.014740262428919475,0.012834863668928543,0.01623995400654773
1,120,-0.2012123187383016,0.01225801457670362,0.0006677106876547138,-0.00014944792065458993,0.0015122347604483366,0.0028420856688171625,0.0025472764282797773,0.0032249587091306843,0.000992393773049116,0.00021404141676612199,0.0018649606916975846,-0.0027596366902192435,-0.004713135887868702,-0.001373890667455275,-0.0007547632014999787,-0.004470582222857047,0.003035941126484731,0.001433811264966304,-0.00023476362141082062,0.002974068279339309,-0.00394630649437507,-0.006364195311131577,-0.0010829916157914976,-0.0007714850614623477,-0.0019483821688239308,0.00042989241905161076,0.0032698291974763076,0.0027831107440094154,0.0037035473498205343,-0.0019472673069685698,-0.002726947815584329,-0.0012037793030807134,0.005948078880707423,0.004679840750371416,0.007249104348011314,0.0006807796657085418,-0.0007919109857175498,0.002053139450144954,-0.005945980603185793,-0.007053469161425407,-0.004522752215270885,0.0030332735739648344,0.002678638327245911,0.003349948149019231,-0.008441986682980011,-0.018886989699385594,0.0016685367980971888,0.001476526881257693,0.0007587267722313603,0.0021650714462157334,-0.006292320291201274,-0.008190947014372795,-0.004654609107722839,0.0014807430716852346,-0.0001337114997052898,0.003194702193529034,0.0012297471519559621,-0.0001987961375076944,0.0026363911489412787,-0.0016290147012720504,-0.002393953086381468,-0.001093429653168035,0.0030486492129663625,0.0014931774271341662,0.0046449636093651245,0.002889347930128376,-0.0007569275459779115,0.008063114277125956,-0.002460146990294258,-0.0033933319267816842,-0.0012724292635296797,-0.0032262530798713366,-0.0040937035158276555,-0.002669980391316737,0.0011824073696819445,2.140751748811455e-06,0.0020337433149688875,0.006695545872207731,0.003104280615807511,0.009673496665782292,0.0013274812605232,-0.00100132934593906,0.00402061888366006,0.005369973524163167,0.0043334710411727425,0.0067552149272523815,4.839638131670654e-06,-0.002404156180564314,0.002550898523865419,0.00768212645004193,0.006114824221779903,0.009133431885857135,0.0016342705115675927,0.0011301938809144,0.002056820181508859,-0.0024564459066217146,-0.004618312506742465,-0.0005304645516055949
2,120,0.0877446877459685,0.05238124402433944,-0.0036626641638576986,-0.005723015203451117,-0.0019429968064650896,0.01078105711688598,0.008026587843584518,0.01395206479200472,-2.4019934547444183e-05,-0.0007105345052453533,0.000830895685576251,0.004192946820209423,0.0032053698079350097,0.005504527035324522,0.0038315555235991874,0.002751779338965813,0.004653449007698024,0.0023326502181589604,0.001457447735980774,0.0030864052391067764,0.0036949571842948598,0.0025989188998937606,0.004748623522464186,0.0011674180626869203,0.00024162637147431574,0.0022564279668343557,0.007346411026082933,0.004625282727841598,0.010303015042251592,-0.006562800499765823,-0.008591652201721445,-0.005234572030991937,0.005073305654029052,0.003816395434550941,0.006611561945949989,0.0005055315792560578,-0.001362544314082091,0.002325502260355278,-0.00013112823168436686,-0.0020898482110351326,0.0014201546180993316,0.003372073189044992,0.0027264351584017276,0.004160641692578792,0.0008691724700232347,-0.0004793189124514659,0.0023623584602804233,0.005529623354474703,0.003174854744380961,0.0070801215448106315,0.00464857608700792,0.003163456922241797,0.006495859992379941,-0.0003872579390493532,-0.0016722027269618896,0.0009511650058751302,-0.001602319354424253,-0.005180401941324817,0.0008251473513276606,-0.0007440941718717416,-0.0015575170617861053,0.0002506905518627399,0.001214939053170383,-0.00014993920010359334,0.0025885896054872615,0.0010824172873981296,-0.001347057967504952,0.0032816968867943304,0.004161517230871444,0.001925157250710375,0.0059606173062638846,-0.005849268784125646,-0.0075360265801039834,-0.003915595496849468,0.01068499448398749,0.008798448328549664,0.012667301107818881,-0.0010633226484060287,-0.0029332822910510003,0.0007302196114324027,-0.003417334519326687,-0.004336151677222612,-0.00249579278655195,0.0055710339918732645,0.0034274454104403656,0.007402500274571745,-0.001041687043228497,-0.003187325059164626,0.0009095736625022244,-0.002148089096105347,-0.003293394054926466,-0.0010573472330967588,0.001775980160649245,0.0008531552604593647,0.002839781736838631,0.001179069917028149,6.756651777929317e-05,0.002320521692163311
3,120,0.05924776643514633,-0.0010976017321809195,-0.000559888423110048,-0.000977346672443673,-4.0047448710539026e-05,0.013882027038683494,0.012118473118171096,0.015896743601188063,-0.006457980132351319,-0.007803343872074038,-0.005148549140819039,-0.0002463079741573893,-0.00041248346594026467,-2.0566512102960647e-06,0.0005930662310371797,0.00039339486800599844,0.000824613235114763,-0.0007690665477033084,-0.0015292584318376613,-7.825313138406888e-05,-0.0006160620599985122,-0.0008165061470936052,-0.0004729231390714025,-0.000717728171730414,-0.0010170318308034135,-0.0004094876512438835,-0.0003906253958120942,-0.0010323431074114827,0.00035757844093798914,-0.002053445461206138,-0.003177898582459117,-0.0009172602512020019,-0.0013542706001317129,-0.0022678845725022257,-0.00047690729552414383,0.004047884667913119,0.002137813922017813,0.0055846240154157085,-0.005946520653863748,-0.00786676816875115,-0.00460998756772218,-0.0002443962206598371,-0.000408132541700373,-6.978803754464036e-05,-0.0023370226651119688,-0.003164405114706218,-0.0014745134719123612,0.002089765027631074,0.0016231530157771582,0.002531013761957486,-0.0017419846893365805,-0.002991655212996799,-0.00021668572354731938,-0.00035494993013950683,-0.0007570000567163031,-1.8019546744957086e-05,0.0013125340648305914,0.0006204437114744602,0.002031805580918444,0.000628422216201822,0.00026105009756671884,0.0010483337411036086,-0.00039872152265161274,-0.001357246643747203,0.00040319492060613413,0.000566765774662296,-0.0002711260446812958,0.0012981520445706943,0.0014398401263557995,0.00045335969640291295,0.00270409119844165,0.0003709816684325536,-0.00015770745133825888,0.0012384510763998435,0.002330039181591322,0.0009654969049734064,0.0036426695515789703,0.0011608846834860742,0.000293561479387184,0.0021299090593432375,0.0005653213205126425,-0.0013997941253668007,0.002869986591492001,0.0042238922013590734,0.0029235879502569635,0.005695972009755981,0.00035661186557263137,0.00021029136997337145,0.00047809999028686396,-0.0016658779873978346,-0.0024727529061298508,-0.0008778167277826788,-0.004959496459923685,-0.007631791931877766,-0.002162394142069389,-0.0038512929051648824,-0.004885139640852383,-0.002864893859053459
4,120,-0.012454746974011261,0.03547400893391265,-0.006017888414983948,-0.008046679383842275,-0.004290201907667022,-9.126393124461173e-05,-0.00017019859844973932,-1.9380084607595026e-05,0.002603491157060489,0.0015421118356365089,0.0034394782064676595,0.00016154990298673512,-0.0008657723001670092,0.0013559248069456463,-0.001155890163499862,-0.002433116141570887,0.00013974078310032673,0.0006624044113171597,-0.00016802078103258584,0.0015954978320708807,0.006230321588615576,0.002285002237185836,0.010587809553059437,0.0011722177461100122,0.0005141919107215169,0.0017035435981233602,0.002373860760902365,0.0006523172990515984,0.004305362407370315,-2.5858679631104072e-05,-0.0003554784564281969,0.00029424420587019983,-0.00044599523534998297,-0.0015004483557034595,0.0006042285655955007,0.001888369411850969,0.001561673296770702,0.002223188704811036,0.002006301423534751,0.0007620247348677367,0.0030542359297396613,0.001703134823280076,0.0011096485991341372,0.00229139789880719,0.000756634729138265,0.0002662236187218999,0.0013012689288007095,-0.003879471584999313,-0.005386221470932166,-0.0028606177366843144,0.0021233728000273305,0.00031074130364383264,0.003775191835981483,0.0008382866838170836,0.0006125013775211604,0.0011312360938851877,-0.0005876029181915025,-0.0009606316954644474,-0.00012777365814448213,0.002522251025463144,0.0018644344457425176,0.0031997509343394386,0.001026518790361782,0.000502751469418096,0.0014200164491194297,0.001938974717631936,0.0017134403390809895,0.002187517851901551,0.0003564279604082306,-8.381629886571314e-06,0.0007682441290429173,0.0016775317412490646,0.0013441305908296877,0.0019352497086705016,-0.0015262536462008333,-0.002571261855288564,-0.0005320676940997764,0.007623163661143432,0.00557218952725331,0.01009255714122749,0.0026246533573915562,0.002161839655600488,0.0030301463495319087,0.004078529045606653,0.003332225326448679,0.004718969940440729,-0.0019782076841996362,-0.003258374033951744,-0.0011212898316928963,-0.006217113230377436,-0.008092957768434038,-0.004630957955184085,0.010565864108502864,0.008842108743265272,0.012279020046504833,0.0024656945761914054,0.0017756206321064383,0.0034670303800764177
5,120,0.051775594055652616,2.794161361331741e-05,0.003540219428638617,0.003105258235397438,0.003966569517118235,0.0013646003945420185,0.0009539156480847548,0.0018385400770542515,0.0009965861992289624,0.000770773126084047,0.0011786031598846117,0.002141064110522469,0.0018871993319286655,0.0024300601608896,-0.00421795267611742,-0.004711151448233674,-0.003709103543466579,-0.004621709914257129,-0.005297190291651835,-0.0037849810665162914,-0.0004069231605778138,-0.0011198385438183321,0.0005672323350639386,-0.0021976423139373463,-0.002424465516814962,-0.001909879940018679,-0.0023310796202470857,-0.0026188765846503277,-0.002086656684599196,0.0006559366049865881,0.00037426743966837724,0.0009592950336324671,0.0005952727554055552,0.00031552232093721007,0.0011043213443675387,0.00249529080465436,0.002210635293740779,0.0028012362529989334,0.0005606682466653486,0.00028536809069919396,0.0007857126979312548,-0.0009270795853808522,-0.001187585699566019,-0.000644099929098351,-0.001031632108303408,-0.0014823768505205712,-0.0005761741522777206,0.001860160520300269,0.0016869868310944486,0.002050671464918802,0.012674817217824359,0.010001336919376626,0.015568220976468487,-0.029112150768438975,-0.032712255629400416,-0.025724674553299944,0.001468055206350982,-0.0005140318971825764,0.003796697552606928,-0.013252351246774197,-0.016094034862083693,-0.010102182401654622,0.001429094544922312,0.00030401041459602614,0.0025708394524796545,-0.003169275711600979,-0.003892617807335531,-0.0022537837348257507,0.011317824882765611,0.009234946282813326,0.013683045737755794,0.007314128863314787,0.005571306737450262,0.009253922891803086,0.002180693030823022,-0.0009655727884576966,0.004427506294353708,0.010933934431523084,0.008929533114812026,0.012881595322396598,0.0022789221722632645,0.0012708213560593624,0.003463444105679324,0.004131497101237377,0.00349831994700556,0.004757651077428211,-0.0026143650834759076,-0.004607943172256152,-0.0005637445673346522,0.0074188978100816405,0.00592319593920062,0.008752505288769797,-0.011899246512136112,-0.016895365105592645,-0.007920898506611897,0.0004516859888099134,-0.00023134882144707565,0.0010003213517484249
6,120,-0.022364361956715584,0.016119463651072388,-0.00033092110728224117,-0.0005525715022425478,-0.00010483711744503441,0.0002719133471449216,9.015006769914181e-05,0.0004329766100272536,0.000770988668470333,7.615688870525143e-05,0.0013216473671248722,0.0012590832309797406,0.0004075361702901622,0.0022918741373966134,0.0014746043055007855,0.0012003995333604205,0.001765741273605575,-0.005260587743638704,-0.006186906430132998,-0.004420707895866751,0.0002915866056961628,0.00012799041390583926,0.0004358427409169962,-0.008644405845552683,-0.010320506143616513,-0.006329057734304418,0.00012013098069777092,-0.0004948082481860183,0.0009076868406070084,0.00040472009568475186,0.00013933566447425012,0.000675161575054517,-0.001001001518064489,-0.0013103978133100706,-0.0006493711671888985,-0.001674995468541359,-0.002352663022320485,-0.0009336652312777007,-0.006811868833998839,-0.007732929593573014,-0.0059038876121242844,0.003097827375556032,0.002662704237542736,0.0035963919941180695,0.00044149468497683606,4.169760582347711e-05,0.0007988957518440048,-0.0022378424531780184,-0.003712483154376969,-0.0010085465251662151,-0.0007244680232057969,-0.0015945049393728066,6.061542798609732e-05,0.005894177407026291,0.004322269867795209,0.007368103925449153,0.0017778482598563036,0.0013866936217527836,0.00233174364004905,-0.0036666389554739,-0.0063497454642007746,-0.0008891700332363492,-0.0023509795874512443,-0.0031775861173809973,-0.0015629813515503589,0.0034366097999736665,0.002715742035846536,0.004361970727234921,0.0037568179269631703,0.0032979823385054863,0.004172879024408758,-0.0012082932672152916,-0.0026879282246227375,0.0005913585993888164,-0.0017988041353722414,-0.0030999496513201543,-0.00018821270360301176,-0.0006595986778847873,-0.0012709489138796925,-0.00015936184092424846,0.003908645066743096,0.0031637842277996244,0.0047761422888531035,0.017848267344137032,0.015682965152276056,0.020253646112978457,0.0013256949411394696,0.0005348640080289139,0.0024276506418633883,0.003617970800648133,0.003176910080946982,0.004047985566624751,-0.006072814886768659,-0.007580845259944909,-0.0044696243126721436,0.008864303313506147,0.007035896703212832,0.010201104345032946
7,120,-0.019809090035657086,-0.050666113217691114,-0.0006557072706830998,-0.0008348676566189776,-0.0004778440684701008,0.00039997439404639105,0.00013518173014745116,0.0006519538315963775,0.0008410007731678586,-5.940187920108049e-05,0.00197499644652756,0.0011113171281370644,0.0007318569395768766,0.0014478392292949136,0.0010621964543436964,0.0009578165355681752,0.0011687335139140486,0.0001388835720717907,8.712856739293783e-05,0.00018285890391174083,-0.009155005061378082,-0.010684034790222844,-0.007473379559038829,-0.004477909319878866,-0.006420462504126287,-0.002591376836547473,-0.0012216864580598971,-0.0016020526820405695,-0.0008697353283059786,0.0018361503491178155,0.0015351848211139442,0.0020499194174772124,-0.0002262401394546032,-0.0006073726298442731,0.00017180331905061958,-0.005361981860672434,-0.006471280172700062,-0.004227345937397331,-0.001526075042784214,-0.002004213153074185,-0.0009895944688469171,-0.00891859494149685,-0.010240482992182175,-0.007496116664260627,-0.003729113470762968,-0.004344982165688028,-0.00290593865676783,-0.0012175138108432293,-0.0018594464112538845,-0.0006939514551777393,-0.007058421646555265,-0.00814095712810134,-0.005832110566552729,0.0009092010557651519,4.239604187508424e-05,0.0017567720846273002,0.0008343793141345183,0.0007341256219660863,0.000914140651099539,-0.0005275588482618332,-0.0008270098769571632,-0.00021630496785898402,0.000528908350194494,0.00036786587579020613,0.000657686650326165,0.0020121416659094394,0.0015218720757062935,0.0025332659509876973,-0.004122761823236942,-0.004559571713519593,-0.0036617627852441126,-0.002731751829075317,-0.0033892019251167463,-0.0021601468956214376,0.0006022631811598936,0.0005056950418899456,0.0006910516491431431,-0.004367857709682236,-0.005268616082224374,-0.0035319286070686455,-0.0007946051598992198,-0.0010401946751517244,-0.0005016316410910804,-0.009736312103147309,-0.011454416540218518,-0.007909542262010898,-1.2651162978727371e-05,-0.00010026314402542387,0.00011709368884718662,0.0022628018787751595,0.0018659557289599131,0.0026837234179644532,0.0006416901829652488,0.00047168170732523625,0.0008218992190086281,0.0019947261413714537,0.0013530443329364062,0.002754948918421481
8,120,0.05047641644875209,0.05217599040091348,0.008460891747381538,0.004054601496706407,0.012187669569005561,0.00045801273081451653,0.0003087938606040552,0.0006048530617651219,0.003703590187554558,0.0024566253686013322,0.0052982124457290995,-0.0009311577305197716,-0.0010470920151177173,-0.0008358553176124891,0.00795049238950014,0.006523707334417849,0.009471936091625442,-0.0026841347261021536,-0.0029417968943016605,-0.0023922482668422168,0.0036745764780789615,0.0023416031943634154,0.004652382024020577,-0.02038283719836424,-0.02389097566832788,-0.01736501630570274,-0.0007225005344177285,-0.0008895807827745254,-0.0005324928249077252,-0.002142582212885221,-0.002363728116809701,-0.001965738623791064,-0.002466903052603205,-0.002784072293822343,-0.0022279906226322058,-0.0011168675497174262,-0.002181802957008282,-9.216611584027633e-05,0.0046320400850769754,0.0038383999217573243,0.0055971161330429205,0.0010916565544903279,0.0008670314059903224,0.0012717731518205255,0.010030768497381359,0.00795450972005104,0.012210393992718309,-0.001281162661810716,-0.0014321556157665327,-0.0011387044664782782,0.002348181962346037,0.002046719919890165,0.0026444365949525187,0.0019575377305348714,0.00023696929604435961,0.004639795252587646,0.0024815273315956193,0.0021430037973914295,0.002757384404540062,0.0021619183011353017,0.001935841100057587,0.0023862443565546227,0.0037353094356755417,0.0032790895986060304,0.004146402680004636,0.00733555958722718,0.0036421061730652583,0.011956203100514054,0.011077313932279747,0.008652997777486841,0.013746824604459106,0.0009756173240020871,0.0005313084104273003,0.0013253927079980106,-0.00074423731615146,-0.0008548182010417804,-0.0006497795148364579,0.006183606386184692,0.004602359142154455,0.008127346372542277,0.002995983883738518,0.002629438377140711,0.003391977505137522,2.262957083682219e-05,-0.000819425264489837,0.0006007230934725763,0.0030499770926932495,0.0026263705873861907,0.0034373202066247657,-0.003490260211401619,-0.005033304829945943,-0.00175877207996867,0.000813840888440609,0.00027174167141007883,0.0013809164749303212,0.0029976014979183675,0.0026202621582585074,0.003325137238328655
9,120,0.0036987399061520895,0.04558215695627344,-0.007743858375276128,-0.01000581169462142,-0.005248832546252137,0.01312346722697839,0.010333032818646946,0.01567378964469147,-0.00011740013918218514,-0.00043219265009004936,0.00030145658602123113,0.0029195260256528856,0.0024925171614935,0.0033106287095385294,-0.0023074525874108077,-0.0025848771882010626,-0.0019424991245614366,0.0028196322886894147,0.0023379591635117928,0.003271100052710001,0.002054195354382197,0.001577912353289624,0.002528716088272631,0.0022486448753625153,0.001570677054502691,0.00282584308530204,-0.01549809086912622,-0.018369772597604122,-0.0126918471356233,0.017852496976653736,0.015701341386884452,0.020462403787920868,0.005277077745025356,0.004103602500787625,0.006760349684239674,0.0019458203188454112,0.0011124777854032194,0.003067542180845824,-0.0024285965288678804,-0.003582977859963042,-0.0010038736458712568,0.021270703943446278,0.013312843131716363,0.02759779413929209,-0.0013003085817520816,-0.005399691953595417,0.002646374194979823,-0.0033284617975975076,-0.004295564313457969,-0.0024398018406160803,0.005563258659094572,0.004968875778528552,0.0062266774661839,-0.002855877624824643,-0.003652935183296601,-0.0021460445568664004,-0.0035433728247880937,-0.004064765945076943,-0.002825834757337968,-0.004822934046387672,-0.0054417847554820275,-0.004380978485569359,0.0005317678481029967,0.0004749989043921232,0.0005872758989183542,0.0020568689020971456,0.0017977110750507562,0.002357392279276003,-0.0034055639679233234,-0.0036961194942705332,-0.0030054996527420987,0.0020420929106573266,0.0018336960708256812,0.002312228884936,0.002884741531064113,0.0025454048385533195,0.0031827941936595984,-0.000913565776621302,-0.001268595193590348,-0.0005338890819499893,0.0026408109658708173,0.0023494776881610355,0.002946675421747689,0.0013690444019933542,0.001220610929885879,0.0015354824213621517,-0.0008355984929949046,-0.0009379503117330993,-0.000740290868949766,0.0012052658091609677,0.001084961917367764,0.0013824624835979192,0.004350957026084264,0.003918392432387919,0.004905693909774223,0.0025268657598644497,0.001801730863129099,0.0034363150387071053
