layer,head,n_pairs,mean_nll_reduction,mean_baseline_delta,mean_intervened_delta
19,23,120,0.1102723584388995,0.27818198011196604,0.16790962167306656
19,18,120,0.05415744385408128,0.27818198011196604,0.2240245362578848
18,4,120,0.035909092627357114,0.27818198011196604,0.24227288748460893
19,28,120,0.035514246760158505,0.27818198011196604,0.24266773335180755
17,7,120,0.02109771341033962,0.27818198011196604,0.25708426670162643
18,2,120,0.020551333586516306,0.27818198011196604,0.25763064652544976
22,31,120,0.02019074207044734,0.27818198011196604,0.25799123804151874
21,8,120,0.012265251105509665,0.27818198011196604,0.2659167290064564
37,26,120,0.001658159235283661,0.27818198011196604,0.2765238208766824
34,26,120,0.0009583630167429626,0.27818198011196604,0.2772236170952231
38,0,120,0.000463955590192695,0.27818198011196604,0.2777180245217734
39,28,120,-0.00012439203656412756,0.27818198011196604,0.2783063721485302
34,1,120,-0.0006236178959839372,0.27818198011196604,0.27880559800794996
20,22,120,-0.0019455785777281228,0.27818198011196604,0.2801275586896942
20,24,120,-0.002685811643921928,0.27818198011196604,0.280867791755888
20,16,120,-0.004920441039810537,0.27818198011196604,0.2831024211517766
22,12,120,-0.005607206907091892,0.27818198011196604,0.2837891870190579
26,11,120,-0.009413034515154945,0.27818198011196604,0.28759501462712106
16,23,120,-0.017923922199706985,0.27818198011196604,0.29610590231167305
22,5,120,-0.030331481268060918,0.27818198011196604,0.308513461380027
