layer,head,n_pairs,mean_ctrl_to_ccp_reduction,mean_ccp_to_ctrl_increase,mean_baseline_delta
19,23,120,0.012948264400402535,0.00034005826687575735,0.27818198011196604
18,4,120,0.008748264158502557,-0.0002675850033220215,0.27818198011196604
19,18,120,0.005469278791312792,0.00019013799210891073,0.27818198011196604
21,8,120,0.004281364104637647,0.00038311715156851277,0.27818198011196604
18,2,120,0.003852325623013449,0.0003534870936558336,0.27818198011196604
19,28,120,0.0025441366294203746,2.4802449437780755e-05,0.27818198011196604
17,7,120,0.002047763020441003,0.00019176369231052064,0.27818198011196604
22,31,120,0.0005658086607977941,-0.00026851662576480803,0.27818198011196604
34,26,120,0.0005248562093610571,0.0001735210591569584,0.27818198011196604
37,26,120,0.00014922741418066428,-6.512867665075461e-06,0.27818198011196604
