layer,n_pairs,mean_delta_mlp,mean_delta_attn_total,mean_delta_head_0,head_0_ci_low,head_0_ci_high,mean_delta_head_1,head_1_ci_low,head_1_ci_high,mean_delta_head_2,head_2_ci_low,head_2_ci_high,mean_delta_head_3,head_3_ci_low,head_3_ci_high,mean_delta_head_4,head_4_ci_low,head_4_ci_high,mean_delta_head_5,head_5_ci_low,head_5_ci_high,mean_delta_head_6,head_6_ci_low,head_6_ci_high,mean_delta_head_7,head_7_ci_low,head_7_ci_high,mean_delta_head_8,head_8_ci_low,head_8_ci_high,mean_delta_head_9,head_9_ci_low,head_9_ci_high,mean_delta_head_10,head_10_ci_low,head_10_ci_high,mean_delta_head_11,head_11_ci_low,head_11_ci_high,mean_delta_head_12,head_12_ci_low,head_12_ci_high,mean_delta_head_13,head_13_ci_low,head_13_ci_high,mean_delta_head_14,head_14_ci_low,head_14_ci_high,mean_delta_head_15,head_15_ci_low,head_15_ci_high,mean_delta_head_16,head_16_ci_low,head_16_ci_high,mean_delta_head_17,head_17_ci_low,head_17_ci_high,mean_delta_head_18,head_18_ci_low,head_18_ci_high,mean_delta_head_19,head_19_ci_low,head_19_ci_high,mean_delta_head_20,head_20_ci_low,head_20_ci_high,mean_delta_head_21,head_21_ci_low,head_21_ci_high,mean_delta_head_22,head_22_ci_low,head_22_ci_high,mean_delta_head_23,head_23_ci_low,head_23_ci_high
0,120,-0.00013971347361803056,-6.529860762990816e-05,5.620898882625624e-05,-6.761249426441888e-05,0.00022438490435888498,1.2803343997802585e-05,4.722684667891978e-06,2.0518350672015605e-05,-4.059885395690799e-06,-5.215218837596088e-06,-2.9410466716702405e-06,-5.269555276754545e-06,-3.129610932622503e-05,1.2162482777663764e-05,2.2510291879977256e-05,9.748497077453067e-06,4.004795194456769e-05,-4.118673095945269e-05,-7.228968212075414e-05,-1.682818030531053e-05,7.491818845058636e-06,-6.8155911155069285e-06,2.2520486242380376e-05,-8.475690071160594e-05,-0.00015496450437543294,3.666235192213202e-05,-3.818705348142733e-06,-2.1308833491578602e-05,1.964678320897898e-05,1.9526234245859088e-05,-1.4888798978063278e-06,5.111655313764155e-05,-4.7253151509115315e-05,-0.00011714207747293888,1.7655968413237106e-05,4.9752108073638135e-06,-3.481851510514389e-05,4.3081360066328956e-05,2.5210111440780264e-06,-2.352386408650394e-05,2.6186730792687713e-05,1.7830151106560756e-05,-3.736424766126826e-06,4.503638332759388e-05,1.790413965257661e-05,-2.7817403388326057e-05,6.878169995009852e-05,-4.442003895140564e-05,-9.545614622766152e-05,3.036798977215462e-05,-2.622285052590693e-05,-3.652468187889705e-05,-1.672348699988412e-05,-2.1265625643233458e-06,-0.00011187562481306183,0.00016802837446448375,4.957261626259424e-06,-4.9679897256282854e-06,1.4484279445241555e-05,-1.8838729981022578e-05,-4.4645192224379565e-05,3.423143399838088e-06,-1.867613912812279e-05,-3.2851384515500584e-05,-6.882624432667706e-06,2.6444601826369762e-05,-0.0003047976039427643,0.0002673212578520178,1.919585435340802e-05,1.4730270534831409e-05,2.382831209009358e-05,1.8961734410064914e-05,1.5224486342049204e-05,2.2845872178246887e-05
1,120,-4.5960024969341855e-05,-0.00035315791307463467,-3.8774579176485226e-05,-0.00011949433115053884,8.279262659016237e-05,-2.264846746887391e-06,-2.5176058340245315e-05,1.651574615152636e-05,-2.2196270341131214e-05,-4.257487462382414e-05,-3.4884556953329674e-06,2.149873932163852e-05,-8.8567308466736e-06,4.851281194836093e-05,-3.3025732894505685e-06,-9.328620462838444e-06,2.8054878688029323e-06,-1.4147407758476524e-05,-0.00010974791771938423,6.18122275651937e-05,-0.00026348856724022575,-0.0005145469979712894,-4.2763515357365205e-05,-1.683157073178639e-05,-3.3730083117310036e-05,-7.977169540633151e-07,1.5482429686623313e-05,-0.00015201548715898145,0.00015817139257705994,8.954615501958567e-05,2.228827499493491e-05,0.0001563125133119077,5.006458801896467e-06,-3.909132025607201e-07,1.0853080225388108e-05,1.3353629037737847e-05,1.83533862279243e-06,2.7578105946304273e-05,4.447139993620416e-06,-1.533847262180643e-06,1.0669527243104914e-05,2.937250610557385e-06,-1.9394725686652237e-05,2.5981757435147274e-05,4.187222536226424e-06,-1.1441223887231898e-06,9.182211833831385e-06,-2.8527795560269927e-05,-6.903666480866378e-05,7.422112582086501e-06,3.3197534018351384e-05,-7.048421078555595e-07,6.152436604073348e-05,2.953988102187092e-06,-6.975579041560801e-06,1.3130904947805285e-05,-2.134454528762338e-05,-3.4963693494015994e-05,-6.925610978214558e-06,4.36096470366465e-06,3.393882570890128e-07,8.03678924057749e-06,8.170251385308802e-06,-8.856117771453378e-07,1.7180476255210428e-05,1.3976651098346338e-05,-0.00021561214007912593,0.00023109348792786473,-7.721161588657803e-05,-0.00015503250029723858,-2.004719992328319e-05,-8.418655537146454e-05,-0.00020862630186456953,4.326640128056162e-05
2,120,-0.0010124541857900718,0.0006998309632763267,-3.0976629083549294e-05,-5.908420165117907e-05,2.5555064742850985e-06,2.4407493159136116e-05,-2.5837264547590164e-06,5.952268224367193e-05,-5.6254357089831805e-05,-0.00010469551806030116,4.946450295998751e-06,0.0002975810852755482,-2.351711939506155e-05,0.0005559425564327585,-0.00010632477181691987,-0.00020601807729084007,-1.24349445589671e-06,0.00010397187143098562,2.708221950645869e-05,0.0001888793216979441,-2.3455876604809115e-05,-3.615006641969861e-05,-9.02779009872272e-06,-5.755915420498544e-06,-4.083453441883951e-05,2.6555543263384567e-05,-2.5768091533488283e-05,-5.145172045558866e-05,-4.5960019936805286e-07,4.456390646131088e-07,-5.780431421953836e-05,5.792138342561274e-05,8.560493127636921e-06,-1.2466922044040984e-05,3.235434757698383e-05,7.755480085810025e-05,-1.565316633787006e-05,0.0001578312758162307,2.0316827188556394e-05,-2.8172279962745963e-05,6.64136148467757e-05,-7.478343359252903e-05,-0.00015547704267191876,3.990149510476214e-06,0.0004730150584994893,0.000287099353023829,0.0006662044454333226,2.4330847736564465e-06,-1.4356109406132114e-05,2.0742228089147815e-05,2.691542807345589e-05,-2.504350601763387e-05,8.373924065381288e-05,-7.915767976858964e-06,-4.9548408642294815e-05,4.222302695173614e-05,-9.10068571101874e-05,-0.00018226003729068907,1.0877343241493848e-05,-7.719826438309004e-06,-4.820781390056558e-05,2.412841293941405e-05,5.7905651920009406e-05,7.312790330615833e-07,0.00010264046778199064,4.145577380162043e-05,-2.0172764783031503e-05,9.610590179969827e-05,-2.2425626108694512e-05,-5.543423274199692e-05,1.3952516067850706e-05,1.765490887919441e-05,-3.0654059106988525e-05,5.797616754231659e-05
3,120,0.000476973286519448,0.0055367206975158,-6.838948781175228e-05,-0.0001370549804020508,8.020354831993814e-06,0.000248892669333145,8.774981517490233e-05,0.0003869935364127741,0.00021588696533096177,5.4954392905225786e-05,0.00040998385200206633,2.1068660619979102e-05,-2.1772033263308304e-06,4.4962751138276253e-05,2.5515271651480968e-05,-4.025316836001972e-07,5.3076777536868256e-05,-2.1695543910027482e-05,-6.303930998001306e-05,3.137330539478468e-05,-7.247437412540118e-05,-0.00012673679626459488,-2.1507093163866872e-05,8.51784752740059e-05,7.153322803787893e-07,0.00016522526324479255,-1.0256610645834977e-05,-4.175155786773151e-05,2.069296996827077e-05,5.769912483325849e-05,-7.717734721760879e-07,0.00011310774916637454,-3.2358514484561356e-05,-0.00027987220211192227,0.000308939232909324,0.00020904497723677195,2.6461921928178835e-05,0.0004174410154094706,-6.097365985624492e-06,-2.488145431319329e-05,1.83351536179543e-05,-7.871501778330033e-05,-0.0001040488870179009,-5.465238168350577e-05,3.5255747570772654e-05,-5.819618102880971e-06,8.764413129938468e-05,-0.00010478663753019646,-0.00029195844906401664,0.00012415925375535152,0.0025270330656591493,0.0017383154364991546,0.0032044169175909094,-0.00014978186372900383,-0.00022414054765249603,-8.507704881291531e-05,0.0008480690583382966,0.0004918488584068351,0.0012216802960362352,0.00020843740154911453,-8.100352587765277e-05,0.00042431979721489673,-3.2795749333066246e-05,-7.231442873793033e-05,1.1002040992025262e-05,-0.00012175288187184681,-0.0003181300282691761,8.588716247080191e-05,0.00026577629105304366,-0.0004562856725230328,0.0010573714583188096,0.001487967036276435,0.0008384730977801762,0.002187077769982958
4,120,-0.0072450162221988045,0.0024324017638718944,-0.00024374081743493056,-0.0005053818257753543,-8.851767597662184e-06,0.0043874819685394565,0.002881468579629048,0.005847404167022128,-0.0028069218475138768,-0.004072987401159481,-0.001360240964543967,0.0010784307087305933,0.0002778873268835014,0.0018445069183993228,-0.0008680309688012737,-0.001194865789245038,-0.0005036709188304188,0.0008726880478207022,-0.0002695991710303739,0.0017679546367677776,0.0005647008287875603,7.823715003420754e-05,0.0009973743988424151,-0.0001547000186595445,-0.0006085414022527402,0.00042293073580367457,-0.00038841777325918276,-0.0005937361914887636,-0.0001763139070196001,9.566876979079097e-05,9.260904480470345e-06,0.00018627226326013135,-5.013401023461484e-05,-0.0004217506057708912,0.000263325897709971,-5.3576322776886325e-05,-0.00016164286043931497,3.179285497026285e-05,5.240846561112752e-05,-1.0376888361255018e-05,0.0001392444267306321,0.0007337333656323608,0.0005313625088698852,0.0009576323376980628,8.687570783270834e-05,-2.6086763409693958e-05,0.00020995749338301997,0.0003370557477561912,0.00015010550503575357,0.0004685605222524221,5.452617964086433e-05,-0.00018577432759533014,0.0002602507731110864,-0.000414629018875227,-0.0006968196790755125,-3.724258920556172e-05,-6.112254862576568e-05,-0.00017494128334874404,4.2160749438456446e-05,-0.0005704327738688638,-0.0010326836502402633,-9.840731717607317e-05,0.0001435338354591901,-0.0001071744953515008,0.0003733806273521622,-6.779603985099433e-05,-0.00011232298407473233,-2.622254190403813e-05,-6.295327038969844e-05,-0.0001544653677410679,8.718237673747349e-05,-0.00023224645143879268,-0.0007850165456147806,0.00031152856605331115
5,120,0.007568285653057198,-0.00014413861511760237,-3.037273127119988e-05,-0.00021407695899445874,0.00018457528890091141,0.0002219304612178045,5.1030087088292935e-05,0.00037942984510057906,-0.00024043037604618196,-0.000346567961951223,-0.0001243335932122136,-0.0003987263936627035,-0.0007250396694144001,-0.00015010273598212138,9.865001290260504e-05,2.4650100652555314e-05,0.0001764793567660187,-0.00023963681402771423,-0.0004206645265367115,-6.57690101797928e-05,-3.9160170854302126e-05,-6.897352102896547e-05,-1.3473799184187889e-05,5.992679992535462e-07,-7.759942248715865e-06,9.204393651695364e-06,2.8222959372214975e-06,-8.060271051363088e-05,9.107450601732121e-05,-0.0004029867768016023,-0.0007446107098197293,-6.69899837763905e-05,0.0006410489052844545,0.0002506105196637994,0.001143298739370948,-0.0005006502166603847,-0.0009867806379285564,-0.0001606836030502261,-0.0006530814775032922,-0.0014882965902870639,0.00035695976244217787,-0.000763863802421838,-0.0009583448155899532,-0.0004956005302907827,0.0003031762864945146,-4.4752011842016755e-05,0.000892095533296621,-0.00024798323089877765,-0.0010350880900902362,0.0003197680235219494,7.493955442138637e-05,8.605925019461819e-06,0.00018721250980888716,-2.444219971948769e-05,-0.00013691402535490245,7.107654945987935e-05,0.0007898079978379732,0.0003267483684612671,0.0013965138812879253,0.0003994112092186697,0.0002306710835667521,0.0005277259211167499,-0.0005916365601782066,-0.0018925449953894713,0.00035439709608908705,9.108167335701486e-05,-0.00022907633960130624,0.00044631585592772645,0.00021438160159353476,8.374356714436241e-05,0.0003544539947930994,0.0011509828686636562,0.00015380218736633347,0.002305018572175564
6,120,0.0018306068804425498,0.004668591578410997,0.00017087251180782914,-0.00027235774313642954,0.0005355052515127073,9.922831692771676e-05,-1.0465534851391567e-05,0.00019791255996096864,0.00022488118362768244,-0.00010507367772030799,0.0005588438888419963,-0.0013588826899649576,-0.002289437763635457,-0.0005212148818342645,0.00016527034119159605,-0.00018572721356273784,0.0004732815522099069,-1.535049571733301e-05,-0.0006308070492984067,0.0004993321711784419,8.707718613247077e-05,-9.046723025676329e-06,0.0001831752875659731,-0.00018281241743049273,-0.00024280349554222386,-0.00011827122386118091,-8.91924292470018e-05,-0.0001587746653725238,6.214845185847123e-06,-0.00016137133910281893,-0.00039341354534068766,4.587832282292461e-05,4.883693278922389e-05,-0.00026862971504063656,0.00045864653783307094,0.0010500919374559696,0.0005441590262368361,0.0017152494325879755,0.00011717878369381652,5.032247313162467e-05,0.00018980486086851063,-0.0003002492822512674,-0.0005607965751672358,7.094967950251703e-06,-0.00018324415868846699,-0.00037962584791481884,-5.0471696401171e-06,-0.0006490112049505114,-0.0026500088074438584,0.0016295372906946152,-0.0007391173382832979,-0.0016067843790369806,0.000225351879101557,0.004353765167373543,0.00161826858651087,0.00686679420255435,0.0002041680922654147,4.298671949072741e-05,0.00044816495712439024,-1.58024772341984e-05,-0.0001479879846253122,0.00010707504228776074,-4.038580421668788e-05,-8.125543138400341e-05,8.542823197785763e-06,-1.263480856626605e-05,-2.1389807200951813e-05,-3.86425093893195e-06,0.0021306495773994053,0.0012989432305524436,0.003021249783172,-0.0002353740066003714,-0.00032592151533359964,-0.00015147415687048732
7,120,0.018856457236688585,0.005273797786503565,-0.002333984301852373,-0.0027989586078668556,-0.0017859533349352812,0.0010560618378804066,0.0007289849007005007,0.0013265558348211925,0.0001271100559582313,-1.0445642668249395e-05,0.00029630267883476333,0.0004674043884733692,0.0001353243585617747,0.0008796973355977867,-0.001082452339081404,-0.0014896299989292554,-0.0006551826268453929,0.00032560493903777875,-0.0002191728753678035,0.0008245637566263511,-0.00016557425551582127,-0.0007717256712930975,0.0004954842128063311,-0.0005393681436544284,-0.0010903634338319534,-4.0104681053587204e-05,0.00014580164667374145,-0.0005554827391946067,0.0007790338924678508,-0.0011744490824639798,-0.001390011108305771,-0.0009229901757983804,-0.0005875468884672349,-0.001416819257562262,9.070098498341368e-05,0.00024051416063836467,-0.00027803521144960543,0.0006671460470533921,-0.001069567674615731,-0.0014157928550897244,-0.0006523094688842927,-0.000281688687876643,-0.0004608718226760781,-7.973576346557832e-05,0.0014458243997069076,0.0008078730505440035,0.002100248730724464,4.306535023109367e-05,-0.00038906041387235744,0.0005178287851110023,0.003940307077330848,0.002580110006868684,0.005387710627304234,0.00014314330765046178,-0.00013717564778441252,0.0004063018496041574,-0.0001538503211728918,-0.0006342551441654602,0.0001757273098458725,0.0004952947221075495,0.0003540833966205052,0.0006274144809140125,0.0001304834857971097,-3.763182200297402e-06,0.0002513036563565643,0.004725235614265936,0.002699414642168752,0.007055993042862004,-0.0007576162286568433,-0.0013467419969189602,-0.00031301853426460514,0.00013404472410911695,-0.00018990758597889603,0.00043237223842879747
8,120,-0.003991321225961049,0.003926327896139507,-0.000472341624845285,-0.0008498459330076002,-7.399034607563751e-05,0.00046835459652356805,0.0002739570057747187,0.0007314502758526941,5.669152402939896e-05,-3.2877420259562004e-06,0.00010433295625261961,0.0006020458900214483,-0.00023245642965775916,0.0014339353871764607,0.00347462545032613,0.0011344653853060057,0.006306768758610512,-0.0029759562918722318,-0.0037055654085997956,-0.001791907423624558,0.0007679683515258754,0.000447015905592707,0.001134767532130354,-0.00021467523959775765,-0.000308287061828499,-9.893285411332426e-05,-0.0011402606129801522,-0.0015900622723953955,-0.0007777776993558898,-0.0016221067412213112,-0.0029137400692222097,-0.0003171555334120059,0.00011030998236189286,-0.00011648265807404338,0.0003118041079142131,-0.0017029733899107669,-0.002429722569898634,-0.0011789374100044372,0.0004431933775776997,-0.0011973273773037362,0.0019024141897049656,0.0010060262051410974,0.0003663343238683107,0.0015973549674769545,0.0003734384711909418,-0.0008423973025977223,0.0022245536649036983,-0.0003953535881009884,-0.0006690897306665041,-0.000169743778545429,0.0001750405450972418,-5.1214674022048706e-05,0.0003860816192900529,-0.001004489415208809,-0.001482031118393934,-0.0004911207272743927,0.0033936485745167983,0.0008821841846414221,0.005293458748298386,0.0011753201824224865,0.00034259118261009767,0.0020754258324450344,0.0028374783461913465,0.002087003888251881,0.003606271796015789,0.0014916080127780637,0.0010611924176191678,0.0018885022365187371,-0.0014639734387552987,-0.002228566276365503,-0.0007236758689881166,-0.001457291271071881,-0.002202975125401281,-0.0006383517709521894
9,120,-0.010367018686762701,-0.007624954080044214,0.0007090094227654238,-0.00022597198563744313,0.0015242308990855234,0.0005876223440282047,-0.0017924216392081387,0.0022775453459568462,-0.002133354014949873,-0.0027100140927844526,-0.0014779361086160255,0.0018618636919806402,0.0006672280228910192,0.0030708659180769845,-0.0008148536144290119,-0.0011292177605597923,-0.0005347868703393033,-0.0008174900688269796,-0.0011353626871277811,-0.0004623083221425383,0.0006485201437802364,0.0003251799990296907,0.0010284285552188519,0.0004236574983224273,0.0002385175433785965,0.0006388786827058842,-0.001225417477932448,-0.002176775307840823,-0.0002883273096328297,-0.00021170212518579017,-0.000578552308070357,0.00016479283966570302,0.00022666242827350895,-2.3052392522610412e-05,0.0004493506937675797,-0.00018786632038730506,-0.00042716498537629375,0.00010984846920715982,-0.0009045328726642766,-0.0015379652614865335,-0.00019601077518018468,-0.006378605505839611,-0.008270788153798397,-0.004672702651587314,0.004035071607601518,0.0024736595608555946,0.006018746817086744,0.00040071661254235854,-0.00013929578155511988,0.0009193159477338969,0.002362934250656205,0.001905830966885939,0.0029133156432847793,0.00046296562601734573,0.00011646465753680483,0.0009723033492385479,-0.0016128408198710531,-0.0034632019476703137,-0.0001057411223155225,-0.0003092624918887547,-0.0004010713984219668,-0.00019693059144022622,-0.004036330755237335,-0.005368388576401533,-0.002749266560155474,-0.000696183027078708,-0.0019858710876724216,0.0004241845625559406,-0.0002921646072839697,-0.001081232662691036,0.0005176136627900008,0.00027662599556303274,-0.001606512146803046,0.0022901945677828413
