layer,head,n_pairs,mean_nll_reduction,mean_baseline_delta,mean_intervened_delta
23,15,120,0.03940675643947845,6.155745541797487,6.116338785358009
27,19,120,0.031914938304806385,6.155745541797487,6.12383060349268
27,18,120,0.02843613441910916,6.155745541797487,6.127309407378378
26,0,120,0.00973189430796606,6.155745541797487,6.146013647489521
26,1,120,0.0075299506436901035,6.155745541797487,6.1482155911537975
27,1,120,0.0053272150447537655,6.155745541797487,6.150418326752733
23,23,120,0.005326345215308926,6.155745541797487,6.150419196582178
24,4,120,0.0027529846156577544,6.155745541797487,6.15299255718183
22,10,120,0.002060212143511959,6.155745541797487,6.1536853296539755
26,13,120,-0.00031453954301769035,6.155745541797487,6.156060081340503
21,12,120,-0.0008025106073031513,6.155745541797487,6.156548052404791
22,3,120,-0.002813671884359825,6.155745541797487,6.158559213681846
27,16,120,-0.002859137637929031,6.155745541797487,6.158604679435416
24,3,120,-0.0030114751835928146,6.155745541797487,6.15875701698108
27,2,120,-0.003867941331996705,6.155745541797487,6.159613483129484
23,17,120,-0.004956074143148427,6.155745541797487,6.160701615940635
20,9,120,-0.01363000901691981,6.155745541797487,6.169375550814407
26,18,120,-0.01625375568730201,6.155745541797487,6.171999297484789
24,6,120,-0.019259902345879324,6.155745541797487,6.175005444143367
26,20,120,-0.021127626019442697,6.155745541797487,6.17687316781693
