layer,head,n_pairs,mean_nll_reduction,mean_baseline_delta,mean_intervened_delta
23,48,120,0.38192614379688056,6.322307862130818,5.9403817183339385
26,40,120,0.2891316278582883,6.322307862130818,6.033176234272531
26,39,120,0.24672066433883846,6.322307862130818,6.07558719779198
32,52,120,0.17245924449877578,6.322307862130818,6.149848617632043
33,15,120,0.14187178143090245,6.322307862130818,6.180436080699916
35,2,120,0.07039797547379398,6.322307862130818,6.2519098866570255
26,27,120,0.04286213139629679,6.322307862130818,6.279445730734522
37,46,120,0.035611553911819596,6.322307862130818,6.286696308218998
35,5,120,-0.1240027770877366,6.322307862130818,6.446310639218555
33,10,120,-0.2811061096319767,6.322307862130818,6.603413971762795
