layer,n_pairs,mean_delta_mlp,mean_delta_attn_total,mean_delta_head_0,head_0_ci_low,head_0_ci_high,mean_delta_head_1,head_1_ci_low,head_1_ci_high,mean_delta_head_2,head_2_ci_low,head_2_ci_high,mean_delta_head_3,head_3_ci_low,head_3_ci_high,mean_delta_head_4,head_4_ci_low,head_4_ci_high,mean_delta_head_5,head_5_ci_low,head_5_ci_high,mean_delta_head_6,head_6_ci_low,head_6_ci_high,mean_delta_head_7,head_7_ci_low,head_7_ci_high,mean_delta_head_8,head_8_ci_low,head_8_ci_high,mean_delta_head_9,head_9_ci_low,head_9_ci_high,mean_delta_head_10,head_10_ci_low,head_10_ci_high,mean_delta_head_11,head_11_ci_low,head_11_ci_high,mean_delta_head_12,head_12_ci_low,head_12_ci_high,mean_delta_head_13,head_13_ci_low,head_13_ci_high,mean_delta_head_14,head_14_ci_low,head_14_ci_high,mean_delta_head_15,head_15_ci_low,head_15_ci_high,mean_delta_head_16,head_16_ci_low,head_16_ci_high,mean_delta_head_17,head_17_ci_low,head_17_ci_high,mean_delta_head_18,head_18_ci_low,head_18_ci_high,mean_delta_head_19,head_19_ci_low,head_19_ci_high,mean_delta_head_20,head_20_ci_low,head_20_ci_high,mean_delta_head_21,head_21_ci_low,head_21_ci_high,mean_delta_head_22,head_22_ci_low,head_22_ci_high,mean_delta_head_23,head_23_ci_low,head_23_ci_high,mean_delta_head_24,head_24_ci_low,head_24_ci_high,mean_delta_head_25,head_25_ci_low,head_25_ci_high,mean_delta_head_26,head_26_ci_low,head_26_ci_high,mean_delta_head_27,head_27_ci_low,head_27_ci_high,mean_delta_head_28,head_28_ci_low,head_28_ci_high,mean_delta_head_29,head_29_ci_low,head_29_ci_high,mean_delta_head_30,head_30_ci_low,head_30_ci_high,mean_delta_head_31,head_31_ci_low,head_31_ci_high
0,120,7.0262043664115484e-06,-3.4941270901830045e-05,-5.019920778674229e-06,-1.197818725235796e-05,2.9905935492517217e-06,1.2180554100874967e-05,6.466989235036635e-06,1.8152238135087365e-05,-1.8133566451676113e-05,-2.572981112460108e-05,-8.715471078157106e-06,-5.099480271534655e-06,-1.4686563914854862e-05,4.216506704324263e-06,1.9610935756494047e-06,-4.610703408995202e-07,4.8107613091967004e-06,-1.9391489634775403e-06,-4.146694440881522e-06,-9.750811093075226e-08,-1.1960495479949411e-06,-2.5935861233961075e-06,6.338916411626287e-08,-4.268417550671681e-06,-7.368630282561147e-06,-8.649325003299664e-07,1.2287185389444251e-06,-1.4227582190073918e-06,4.334644452986441e-06,-5.385419272367168e-06,-8.290843368428113e-06,-2.116739791423091e-06,8.241949179440174e-07,-4.10562492978291e-06,7.062812844935705e-06,-5.0871906864813354e-06,-9.923019878973113e-06,5.9060020684378356e-08,1.6724050548570328e-06,-1.992018606434461e-06,5.4246550070994695e-06,-3.886878720512262e-06,-9.91127793696478e-06,1.0438464726547589e-06,2.913582180023392e-06,-1.3259051542036104e-06,6.903703784738959e-06,-5.28451863412253e-06,-1.0692341745131746e-05,4.766184825181037e-08,1.5355041909970168e-06,-8.352489560555416e-07,4.97218503426211e-06,-2.780537964023703e-07,-1.6535283529369356e-06,1.5377204865056133e-06,-4.533168123543874e-07,-2.1781820620484872e-06,8.092676057932121e-07,2.4801122246268883e-07,-1.7668563451896565e-06,2.636221798155701e-06,1.2827619608894262e-06,-2.280971774553109e-06,4.355131274754359e-06,2.959901894428185e-06,-6.823482563807677e-07,8.347714435027827e-06,-4.760509250445466e-06,-7.68660181904579e-06,-2.1191747631140373e-06,2.6839534105723336e-06,4.747936422215086e-07,5.2755305354897545e-06,2.0858162239771144e-06,-9.59591150755538e-06,1.2113601236857595e-05,1.1270989868232088e-06,-9.755901784842535e-06,1.0139899995920128e-05,-3.4975739329941766e-06,-1.2274661004312293e-05,4.254376310086626e-06,6.02701203054797e-06,-9.263768133867719e-07,1.3394794653625765e-05,-5.619954121508878e-06,-1.2309731434546242e-05,6.922943294777419e-07,-3.255777225300941e-07,-9.625681190451966e-06,8.57387656102067e-06,-8.281796075001087e-07,-6.238866939346129e-06,4.9194302338643545e-06,-2.6081230695732907e-06,-1.0597373162492355e-05,4.909766440259011e-06
1,120,1.4287978107555924e-05,-2.5523452980754275e-10,-9.365324361472934e-06,-3.7608598374087404e-05,1.2059167230897074e-05,5.57201041525938e-06,1.0858692127158065e-06,1.1203583118136365e-05,-6.343568376602585e-06,-1.8550271645002187e-05,4.9215445655666625e-06,-5.135334189769007e-06,-1.4299366825412107e-05,1.8473334988773964e-06,6.139591899530691e-06,-2.246563016683467e-06,1.3471269600510513e-05,-2.1955694440597047e-06,-5.628230039368039e-06,2.7264052558469584e-06,-3.0431157786855084e-06,-9.187743466251655e-06,3.0639473226301467e-06,-8.785693989921128e-06,-1.7578299948392367e-05,8.625019290775295e-07,8.020590151621339e-06,-7.499052369250118e-06,2.2838129779832636e-05,2.219271755166119e-06,-4.4668165950649077e-07,4.52545300258104e-06,-1.32046451237026e-06,-5.304908082545505e-06,2.500744019850262e-06,3.014243664741419e-07,-4.612707802872743e-06,6.0644261578583305e-06,-5.331089975394813e-07,-7.928641392993541e-06,7.883267402633e-06,3.7890014747669436e-06,-4.210125627347831e-06,1.0891663701878912e-05,2.206911146155714e-06,-4.491350008303622e-06,1.0181872138635593e-05,-1.938697939370589e-07,-7.102858534343189e-07,2.249660831192077e-07,-1.3058933546972185e-05,-2.2071370841416636e-05,-3.2026346986905694e-06,-7.233451333377161e-06,-1.3390913262488387e-05,-2.5829475687070697e-06,3.9054100492800595e-07,-2.2984921224159886e-06,2.727727292513764e-06,6.535062501219121e-07,-4.357860289682473e-06,5.02096518507263e-06,-6.503981425491171e-06,-1.7181815136098065e-05,6.477764107728478e-06,3.980133156270919e-06,-4.347368946895358e-06,1.3965424128533254e-05,2.910487127868085e-06,2.3284654024754066e-07,5.8933454678822245e-06,1.1325936672316553e-05,3.476609482693978e-06,1.9591440985493587e-05,1.174960819601741e-07,-1.0800156860568676e-06,1.0681621116267098e-06,-2.567330303312095e-07,-5.0457465865368554e-06,3.593218707749201e-06,1.0697172569962277e-07,-4.172644676524821e-06,5.6394145263520075e-06,-7.100637503754115e-07,-8.086917771284638e-06,8.489040335177828e-06,1.7124325525704385e-05,8.358121477272108e-06,2.6612575968556474e-05,-7.487872047325558e-06,-1.185668281721064e-05,-1.2842593620613742e-06,6.871502284866437e-06,3.1506798435998463e-06,1.0178066420015358e-05,4.371283049901346e-07,-5.291511296168968e-06,5.398639469641843e-06
2,120,-2.925244298239704e-05,4.4425311722307014e-05,7.84107237450371e-07,-4.449311548266148e-06,7.020011287484824e-06,-6.353642470457999e-06,-1.4264369597185577e-05,1.3558182361824163e-06,1.889456685451781e-06,-3.912602438920961e-06,8.304643955436094e-06,1.1028288440684264e-06,-1.295596425450185e-06,3.8528210859567465e-06,-5.436277505547575e-06,-1.3854636582474693e-05,-8.614788748673175e-07,-4.218499755855494e-06,-1.771746411463937e-05,4.731717947189883e-06,4.145228835265394e-06,-6.344308132402906e-06,1.4246628524764067e-05,6.184938994617066e-06,-5.864191501435319e-06,1.62960694293209e-05,5.846392222489764e-07,-3.292900749348367e-06,4.759387832156864e-06,5.07957497196306e-06,-4.4085138000582437e-07,1.2700332707519613e-05,2.861251645451072e-06,-3.434887799092697e-06,7.955521456419016e-06,-7.897926633404494e-06,-1.60731754808315e-05,-7.690041034417607e-07,9.854717734469887e-06,2.6918674980909905e-06,1.591445887337765e-05,-3.478882528421915e-06,-1.1363320056526998e-05,4.5722968144445855e-06,4.1568018514226426e-05,1.591561043899977e-05,6.98314326655236e-05,-2.5558916528704383e-05,-4.652434212289336e-05,-5.765672187862978e-06,-6.849067472103343e-06,-1.0050710797789483e-05,-3.969174098301666e-06,1.2149523551367262e-06,-2.591715154380836e-06,5.3874355901939434e-06,5.744312641316659e-06,-1.7167571397180837e-06,1.45509289239006e-05,2.0802657748693793e-06,-5.7189424912470106e-06,9.817812396780315e-06,-2.5662858812817525e-07,-7.859710102309237e-07,1.759471396193625e-07,2.3340812106198427e-06,-3.9378201885635156e-07,4.635772979829272e-06,3.233239355419452e-06,-5.286537326204173e-06,1.1127166740152454e-05,-4.127272850003768e-07,-2.2184391057559575e-06,1.3556588668942958e-06,4.172289485874595e-06,-4.3688092508394525e-07,7.263211025758658e-06,3.2883580464234303e-06,1.5559744213078377e-07,7.982686940692927e-06,3.723165082192281e-06,-4.358083492093101e-06,1.044723130310861e-05,3.3536759171208055e-06,2.5132041419813887e-08,8.028320064568106e-06,-3.6486761132437096e-06,-8.342625948311403e-06,2.1489060215647724e-06,1.845238728037657e-06,-2.446581709326286e-06,6.785923467305109e-06,6.232029041560357e-07,-3.432084097075479e-06,4.600507441476034e-06,2.8690124167951582e-06,-7.92313967442245e-06,1.1309022152280096e-05
3,120,-9.236935632846628e-06,4.726571463322671e-05,-7.81386462449518e-06,-1.3709942593512399e-05,-2.213254329224889e-06,-5.668447579409986e-06,-1.7978627295557695e-05,6.3626055051220945e-06,1.4821825683005348e-05,8.826963535284449e-06,2.2377002334224007e-05,1.827158943494093e-06,-2.8713294622662033e-06,7.25916903007828e-06,-7.993269264261471e-08,-1.831029057749826e-06,1.7192637380958322e-06,3.551117932450628e-07,-2.44180307755452e-06,3.3646113300278523e-06,-4.197215730528114e-09,-3.063303786253376e-06,3.3210134800280332e-06,1.5002113286755048e-06,-7.232439239714949e-06,1.0920206223090642e-05,7.215565282573758e-06,4.1980306710343026e-06,1.0988862025792892e-05,-4.136886843753018e-06,-1.3052154416755002e-05,4.243636782253663e-06,5.299608308935907e-07,-2.1326102293528492e-06,4.758038295165079e-06,2.017760198214091e-06,3.636187231374303e-07,3.9389190306830324e-06,2.737377932741462e-05,5.4996541901649225e-06,4.641390521859041e-05,-8.06097317157158e-06,-1.7649737768389664e-05,2.07176627782236e-07,-2.164638908652705e-06,-4.461530054034786e-06,-2.7976183976840046e-08,-4.683724750975671e-06,-1.02644328601779e-05,6.179137765608745e-07,1.2468856425584818e-05,5.458458126857597e-06,1.9476864429748256e-05,8.180395904370622e-08,-1.892363813453812e-06,2.1652317525422396e-06,2.843537110190179e-05,1.840310901286557e-05,4.0832337089113924e-05,-4.723762147780993e-06,-9.779682381652795e-06,1.3867546010715056e-06,-8.31320693729746e-06,-1.292821884874229e-05,-3.415577620747476e-06,5.539856730744456e-06,-1.4532284742661735e-05,2.3986038382114795e-05,-1.6284264953962217e-06,-6.458937032789435e-06,1.6733553119744696e-06,-5.972233422350352e-06,-1.2876341745406232e-05,-9.124908823802572e-07,-3.2736656711070584e-06,-7.55599331294358e-06,8.643701479134774e-07,-8.874568076559324e-07,-5.462866335411339e-06,3.095866121517086e-06,1.9008865971651783e-07,-5.224365787626084e-06,6.49951663329299e-06,-3.24033187458402e-06,-5.74584108311645e-06,-5.559808698289258e-07,-2.863208711308592e-07,-1.5532330597996709e-06,9.010842429783375e-07,2.9878736995669897e-06,-8.189000864907333e-07,6.572749426633583e-06,1.3756942735199119e-06,-1.5554705458953322e-06,4.7125122428800125e-06,1.4828664101666314e-06,-3.0390589679996083e-06,6.170715945141104e-06
4,120,-0.00018831502056855244,0.0001784588894281569,1.4257580573939777e-07,-3.8410471476879595e-06,4.002077849065691e-06,5.694029800906719e-06,-4.9407128180215905e-06,1.5858287835044376e-05,-4.632090085957922e-06,-1.2889330077191137e-05,1.846821667186292e-06,-1.6907076239173572e-06,-6.831103188649953e-06,2.593010735646808e-06,-1.014089639284066e-06,-4.272413113805366e-06,2.979440539168832e-06,-1.1676697204165975e-05,-5.0011967294570545e-05,2.525009023202072e-05,5.507503146873205e-07,-2.7042554795760528e-06,4.20274559559175e-06,-6.0414024308859855e-06,-1.0137690816615456e-05,-2.8418936313793587e-06,1.628031617049904e-05,1.3111959253819807e-06,3.451947715992295e-05,-1.1208387528919653e-05,-2.5020051204289e-05,5.0658364945850925e-06,9.193208922321597e-05,4.991075171233206e-05,0.0001309340892388869,3.1132147796597565e-05,-2.9992612083636532e-05,7.808164156434332e-05,9.536179572933178e-06,3.3076586968642614e-06,1.70008986757845e-05,1.7794201009261693e-06,-4.070572102061003e-06,6.497266879061193e-06,1.2287548906897428e-05,-1.7278468713660308e-05,4.47799210640672e-05,-2.375585410163694e-06,-1.0026640461641516e-05,6.930988386576091e-06,-5.312383890062241e-06,-2.5056969120669238e-05,7.566738937233204e-06,2.5295800772558625e-05,1.2613945413401478e-06,5.48957335884855e-05,-6.184787177213972e-07,-1.1365793398662541e-05,9.36676268821656e-06,1.1622280794654216e-05,-1.1707902846372538e-05,3.2637560822953066e-05,1.6504508153047937e-06,1.7301021377609988e-07,3.5201842049066993e-06,-1.929196241690079e-06,-2.3840095097208783e-05,1.4343315632080095e-05,5.15078117283944e-06,1.5295687711613937e-06,9.979649442470871e-06,1.208612222095932e-05,-9.319192190559988e-07,2.6582601540591556e-05,-2.050723525523305e-05,-4.119385079870123e-05,-6.033801067436194e-06,2.5906898978670746e-07,-5.507066527267549e-06,5.7947619738267e-06,9.462048168037047e-06,3.2586125144007384e-06,1.6318869192749234e-05,5.981197879615744e-06,-2.38079232152207e-06,1.7016621856100746e-05,1.6401126913478948e-06,-6.196398830032498e-06,8.612980750892044e-06,-4.296687954289761e-06,-1.2599199250000008e-05,3.2716631333566106e-06,5.251454619307575e-07,-4.312528877600623e-06,5.428448606797545e-06,6.753764751010749e-06,-8.911394462529641e-07,1.3471834221074156e-05
5,120,0.000334761022895691,0.00027459526748998544,8.607896309816472e-08,-1.9732455401329694e-06,2.04147093455731e-06,7.177698663933067e-06,-2.225064086076145e-05,2.7687573245695285e-05,-2.2192263713805007e-06,-6.9544868487507005e-06,1.7045806405728075e-06,6.4045592542546124e-06,-1.1060337215932728e-06,1.3632623522615473e-05,1.6592674425434475e-05,-2.301067045967405e-06,3.591933760200542e-05,-1.2717888148472412e-05,-3.418824749455022e-05,1.047912286442927e-05,-3.5177804685796826e-06,-8.63600593220326e-06,1.1927467552178907e-06,1.941494804971929e-05,-5.1249362162100924e-05,7.674083123068459e-05,2.497653251036051e-07,-2.1490963792795505e-06,2.906145576559991e-06,1.3568618366358957e-06,-1.1974498257056136e-05,1.7222717252707282e-05,-5.972771744685209e-06,-1.5642686160314646e-05,4.813735093875948e-06,2.7171480515638297e-06,-2.1876240983450164e-07,6.028135388949824e-06,3.620799570853705e-05,-1.226256677909987e-05,9.498158493670413e-05,5.3724100780527806e-05,-3.658172340692545e-05,0.00013104045384655655,1.8460442356627026e-05,1.409747180029323e-06,3.8190759644294305e-05,1.0291542131805424e-05,-2.4111400133127363e-06,2.6309898513356184e-05,4.622565893441788e-06,-2.5289033878076832e-05,4.305987596050424e-05,7.341787303024224e-06,1.422639257195139e-06,1.4399396827116106e-05,1.4149203760401482e-05,-2.4559297232447836e-06,3.062000940436367e-05,-6.332170037618804e-06,-1.7638206251101945e-05,6.581223002702542e-06,6.731319964122425e-06,-2.278169599833291e-05,3.2117139349547076e-05,-3.095105967076961e-07,-3.460378042537589e-06,3.7488351632456766e-06,5.687462688304853e-06,-1.7032401758569903e-05,2.8231010031921262e-05,1.218069943812831e-06,-4.444425306739201e-06,6.948900976150673e-06,-1.483477566731987e-05,-3.147186281106921e-05,1.936374848128228e-06,-9.45430882287231e-06,-2.4306876987717866e-05,3.6405820875036795e-06,-3.0286000007132923e-07,-1.7207223302951508e-05,1.5264798001908265e-05,2.984050721958435e-06,-5.5745094183142406e-06,1.0984998974095106e-05,-3.7924362307724854e-06,-1.015439024134442e-05,3.5792540730502154e-06,1.9880336731148417e-05,8.481125638202987e-06,3.251497222474123e-05,1.8334499297149401e-06,-6.968396616760705e-06,1.4859830775624971e-05,9.691693309529606e-05,6.147751687421988e-06,0.0001960745378748167
6,120,0.0004253466455944969,6.449435834383621e-05,1.4930378483768436e-05,6.885977590324425e-06,2.1933657895942807e-05,3.787571207188497e-06,-5.556479457216786e-06,1.1799148740199887e-05,5.580870417058274e-06,-1.1186150599466297e-05,2.5427060558437573e-05,-9.29455762464689e-06,-1.7235774093933288e-05,-1.5271296907334006e-06,7.393438078603745e-05,3.3648020288789366e-05,0.00010639861553954687,6.749901028039555e-07,-8.659021203129669e-05,8.820173239882928e-05,2.2432607435500054e-05,-2.066698443589606e-05,6.676425786660424e-05,2.1052918411138912e-05,4.95997333208228e-07,4.0749896380134485e-05,3.634548150633539e-05,-9.238433449354488e-05,0.00018647308375117664,-8.95586378343675e-06,-3.903112106020975e-05,2.4351987393250344e-05,-1.6926588705246105e-05,-5.2816112688560676e-05,1.3804617193879179e-05,1.111101206940172e-05,-1.4204670586271579e-05,3.52698406679034e-05,-2.680657113766453e-05,-7.399976096394311e-05,2.2456694237765325e-05,-1.795727118102756e-05,-4.840569283108683e-05,1.445466660243253e-05,-1.279949356103316e-05,-5.454616704885969e-05,3.172271214377051e-05,-1.5937098639066485e-05,-4.274651709617198e-05,6.069886474051585e-06,2.787914718282991e-06,-7.410385825323828e-06,1.3149658307725066e-05,-4.828573167590851e-05,-8.317694763263717e-05,-1.5040140018148438e-06,4.7198605898302045e-06,-3.121408388930528e-05,4.688599544048581e-05,7.537969622717355e-06,-4.024502768894915e-06,2.0970605295360652e-05,0.00012837518837235015,8.621638004115084e-05,0.00019152317737810637,2.2826025103010275e-05,-4.3418541069210425e-06,5.696285971528889e-05,-1.2019627926444324e-06,-3.2770706571530654e-05,3.8465847342195024e-05,-4.5208798625632576e-05,-0.00015070763558090524,6.904763350500307e-05,3.5598416161519706e-07,-1.3495718165093724e-05,1.3247571325791793e-05,5.087161972975688e-06,1.437017494936299e-06,9.378408858727501e-06,-4.920005024663018e-05,-7.719486272435461e-05,-2.2395211462935573e-05,2.7997969179220187e-06,-3.7435753957500615e-06,7.802965746653469e-06,1.1274125790805556e-05,-8.19495570037058e-06,3.8221551491612135e-05,-3.053615858637689e-05,-6.283374475666884e-05,7.4489282087597324e-06,-1.5258242153019333e-06,-8.020043491645386e-05,7.970334559255812e-05,-2.6483908550289924e-05,-8.638962058588126e-05,3.1604256829875026e-05
7,120,-0.0012115049037674907,0.0008067552756453249,1.2956624777871184e-05,-1.7956535825760513e-05,4.799750734567471e-05,0.00013242687527963425,-3.1809380034246714e-05,0.0003089532372693305,-2.2224070926313287e-05,-9.357209795780363e-05,5.626711829184689e-05,7.279877374154846e-05,3.1238639970752046e-05,0.00011156689359305953,-8.14050760709506e-05,-0.0001260617639445627,-4.256191868762473e-05,-2.3770673882002788e-06,-7.279516560856791e-05,6.825248065524644e-05,0.00010228267777468621,2.0761511316322866e-05,0.00017133631704837167,0.0002756127561345541,3.102979891688544e-05,0.0005668814296238147,0.00015883187846460107,7.814648910046647e-05,0.00025758846397593504,-1.599978298448453e-05,-4.0380899917333106e-05,1.0996932046888685e-05,0.00011942483612680614,2.215775590912017e-05,0.0002244255750580729,7.776146696111633e-05,3.698783903928415e-05,0.00011513426900554199,-0.00016890485621843255,-0.00023128415322313836,-0.00011244913844393522,9.736051169966231e-05,2.6615312070437842e-05,0.000158426332336603,2.0171381023222543e-05,-2.420569705880856e-05,6.876665597815187e-05,7.321915583512843e-05,3.375667317034943e-05,0.00012020894954465186,9.951020426039273e-07,-1.9162177572222084e-06,3.6887560986542655e-06,-1.0478222763291949e-05,-1.6586564958439945e-05,-4.610757109730915e-06,4.539548881439259e-05,7.81933565425182e-06,8.261394643947518e-05,1.7597704997266797e-05,-3.8050260627642256e-07,3.5018677781408766e-05,1.1029920036283633e-06,-1.614095965578599e-05,2.3218743343325814e-05,-1.0449455445874871e-05,-2.3098775741724846e-05,2.3406889863508664e-06,-8.437688741954237e-06,-2.1623896487502254e-05,3.1358077918260262e-06,8.06882034339651e-05,4.368582210266443e-05,0.0001292833120730089,-3.965097942758196e-05,-0.00015023627929925472,6.489425290358947e-05,9.355618726658576e-06,-1.5159720553583612e-05,3.270825240178963e-05,-5.518190755537944e-05,-0.00014464435973119785,2.5907379394235844e-05,4.4558064473676495e-06,-1.4648163145996781e-05,2.235217768657093e-05,-2.0262181305952253e-05,-2.714308964110993e-05,-1.3353208083420517e-05,1.2286774942064463e-05,1.91446232747694e-06,2.2416103569184987e-05,-1.4103867685359244e-05,-3.471025974818076e-05,1.0511680351707267e-05,-5.849419706767852e-05,-0.00010063701372322005,-2.0205829555379776e-05
8,120,-0.0006583645551775893,0.0005101875339884525,-1.5175140341246636e-05,-2.59776889671078e-05,-2.1703363758736913e-06,-2.6242983858537626e-05,-5.156764707635375e-05,-6.667108478571541e-06,-2.064918177590395e-05,-9.775381400989622e-05,7.266186794974283e-05,6.1909369681719305e-06,-1.2201253188474463e-05,2.0673481491257902e-05,3.316272031952394e-05,-9.85347805302202e-06,8.089369935229718e-05,8.547048309992533e-05,-1.6597823995046688e-05,0.00018299822993715978,1.689586333668558e-05,-8.739983482882962e-05,0.00011831423927560533,-1.9860262727888767e-05,-3.757288153034703e-05,-2.1706989021671216e-06,5.3368890682274166e-05,-2.226434259531137e-05,0.0001256536550818055,-1.4318709660680422e-05,-4.1339183605941796e-05,2.6328580274063493e-05,-0.00020304695717641153,-0.0002928145717442021,-0.0001045157068013699,2.3033111362262085e-05,2.223666358910729e-06,4.830417193905608e-05,0.00019789875514106826,6.745995360385374e-05,0.0003086921913260691,0.000241724363938071,0.00012209463666901381,0.00035424150542894483,4.36444937804481e-05,-2.3996493691811338e-05,0.000102678619884197,-4.547137614281382e-05,-7.812073372861051e-05,-6.285821033695061e-06,-9.821256147309517e-06,-2.1594474297520113e-05,-5.272903717923434e-07,0.00010882622833984594,1.6767180033336143e-05,0.00017895699279809677,-3.1640409300356014e-05,-5.5494798552141826e-05,-8.02599062505295e-07,-3.0012850281006347e-05,-9.105949955331501e-05,3.13861329474699e-05,-7.059713986260856e-05,-0.00010821057051240739,-3.170064737181143e-05,1.6571633265508958e-05,-0.0001320559485884587,0.00015190545210922812,8.39640480990056e-05,-9.451461612722293e-05,0.00021471688204807525,-5.233487145233085e-05,-0.00018871746137771577,9.504883492127188e-05,-4.408758322824724e-05,-6.355895839381749e-05,-2.9525742486384844e-05,-1.584438850841252e-05,-2.695369181916855e-05,-4.908347927236424e-06,-0.00016692915123712738,-0.0002886467150892713,-5.148387827527284e-05,0.0004529533219586786,0.00034096032528092715,0.0005619381991376332,6.716838349044944e-05,9.968598836470243e-07,0.00014093695202745942,-0.0001356174963802914,-0.00019056773610373056,-7.1451787997224e-05,-6.857975449747755e-06,-1.6007055146474156e-05,3.27444810560943e-06,-1.2177966262546154e-05,-2.9551852191123846e-05,6.042348778313068e-06
9,120,0.0018381104006645426,-0.00043184012054856187,-4.5683190516380513e-07,-2.6371058347270566e-05,3.884010219413387e-05,-3.440364256069491e-05,-7.814367487753771e-05,-6.209203218077254e-07,3.8621526649270284e-05,1.0324018185201568e-05,6.514071806501912e-05,-1.855542223741698e-05,-2.7689937910982585e-05,-1.1117914669682706e-05,1.06973139281763e-05,-1.0502755574937813e-05,2.7028228685897655e-05,0.00012441140819040205,3.692143860916985e-05,0.0002014887916993757,-0.00028272950682245814,-0.00038795316853944923,-0.0001646520278912552,1.4532694452403424e-05,-2.3913952563816565e-05,4.705957321372503e-05,-6.373264659487176e-06,-3.7374424290040525e-05,2.0297488883140082e-05,2.8881500262893194e-05,1.4037170484092106e-05,4.551355305087175e-05,-6.619509889181548e-05,-0.00015436431118359906,2.7070477769181365e-05,7.097021425579441e-05,3.075151350913075e-05,0.00010325467818802277,0.0001486026435486565,6.495018723095807e-05,0.00024776412315683644,-8.088858585324488e-05,-0.000150055125614017,-2.286707762474787e-05,0.00012926549364541037,4.019108951221521e-05,0.00024676903259205566,-6.395379520351223e-05,-0.00012310656418321742,2.509421998790133e-08,-0.00017445203205473565,-0.00025676982639652126,-0.00010945945610122486,-0.00013935001097706846,-0.00026227591431431086,-7.274375082791642e-06,2.435528031128342e-05,9.493254409183767e-06,4.808610137236729e-05,-9.179818152915687e-06,-3.1492360849370014e-05,5.918061752557424e-06,2.7661982994686695e-05,1.3691036211866959e-05,4.185380724190205e-05,-2.2902592415145287e-09,-4.1367291883792254e-05,3.4070115190540175e-05,-6.048403438398964e-05,-0.00010178504919773938,-2.01165088454521e-05,-3.845850633297232e-05,-0.00012699824269702732,5.5260774123932135e-05,-2.032406928265118e-05,-3.652519086093283e-05,-2.98157321329503e-06,8.042017028249877e-06,-9.987100124817516e-06,2.4243480241542176e-05,3.997063248183015e-05,-2.31280781008536e-06,8.932202878592453e-05,-3.904611882414125e-05,-8.780462648549777e-05,5.79265396481786e-06,-6.739002334749481e-05,-0.00010318592326787742,-3.552517452059571e-05,-0.0001100776804984586,-0.00017126046367441935,-5.4083682030068304e-05,2.9899416161545864e-05,-5.523149123594825e-06,7.325753836994409e-05,8.456848778829833e-05,-3.4119801146819854e-05,0.0002196007469547112
