layer,head,n_pairs,mean_nll_reduction,mean_baseline_delta,mean_intervened_delta
31,25,120,0.014835721874856888,4.722535256672165,4.7076995347973085
25,4,120,0.0037614677126971228,4.722535256672165,4.718773788959468
31,27,120,0.0028845824488193126,4.722535256672165,4.719650674223345
30,16,120,0.001799113002212469,4.722535256672165,4.720736143669952
31,14,120,0.0017636583266361881,4.722535256672165,4.720771598345528
31,22,120,0.0006799882692394738,4.722535256672165,4.7218552684029245
31,17,120,0.0006468541554771133,4.722535256672165,4.721888402516687
29,17,120,0.0005304913649643327,4.722535256672165,4.722004765307201
29,12,120,0.00016564473566249734,4.722535256672165,4.722369611936502
28,12,120,-0.00015257317654492018,4.722535256672165,4.72268782984871
28,8,120,-0.0004072457732438214,4.722535256672165,4.722942502445409
26,29,120,-0.00054884999134268,4.722535256672165,4.723084106663507
28,14,120,-0.0005683576304807198,4.722535256672165,4.723103614302645
31,19,120,-0.0009220671513911013,4.722535256672165,4.723457323823555
31,20,120,-0.0009550670734342022,4.722535256672165,4.723490323745598
31,9,120,-0.0014966616286873442,4.722535256672165,4.7240319183008515
30,9,120,-0.002623442260888869,4.722535256672165,4.725158698933054
29,19,120,-0.004187994276059208,4.722535256672165,4.726723250948224
30,18,120,-0.004331625067929962,4.722535256672165,4.7268668817400945
31,13,120,-0.009447542006809436,4.722535256672165,4.731982798678975
