layer,head,n_pairs,mean_ctrl_to_ccp_reduction,mean_ccp_to_ctrl_increase,mean_baseline_delta
31,22,120,0.045637921599108906,0.0038165382407409974,4.722535256672165
31,14,120,0.04454555977165173,0.004573303262248132,4.722535256672165
30,16,120,0.014129381034616185,0.0005869990567967409,4.722535256672165
31,25,120,0.009271731465943163,0.0010502684438907885,4.722535256672165
29,12,120,0.006170401314513152,0.0009105468363369576,4.722535256672165
31,17,120,0.003785926024737588,-0.000570975403852039,4.722535256672165
28,12,120,0.003091965822061472,-4.685761241332318e-05,4.722535256672165
31,27,120,0.0016627876731164055,-0.00045871956635134344,4.722535256672165
25,4,120,0.0014456004618570739,0.00031298873993359616,4.722535256672165
29,17,120,0.0006552478150188709,0.0006887782081607098,4.722535256672165
