layer,n_pairs,mean_delta_mlp,mean_delta_attn_total,mean_delta_head_0,head_0_ci_low,head_0_ci_high,mean_delta_head_1,head_1_ci_low,head_1_ci_high,mean_delta_head_2,head_2_ci_low,head_2_ci_high,mean_delta_head_3,head_3_ci_low,head_3_ci_high,mean_delta_head_4,head_4_ci_low,head_4_ci_high,mean_delta_head_5,head_5_ci_low,head_5_ci_high,mean_delta_head_6,head_6_ci_low,head_6_ci_high,mean_delta_head_7,head_7_ci_low,head_7_ci_high,mean_delta_head_8,head_8_ci_low,head_8_ci_high,mean_delta_head_9,head_9_ci_low,head_9_ci_high,mean_delta_head_10,head_10_ci_low,head_10_ci_high,mean_delta_head_11,head_11_ci_low,head_11_ci_high,mean_delta_head_12,head_12_ci_low,head_12_ci_high,mean_delta_head_13,head_13_ci_low,head_13_ci_high,mean_delta_head_14,head_14_ci_low,head_14_ci_high,mean_delta_head_15,head_15_ci_low,head_15_ci_high,mean_delta_head_16,head_16_ci_low,head_16_ci_high,mean_delta_head_17,head_17_ci_low,head_17_ci_high,mean_delta_head_18,head_18_ci_low,head_18_ci_high,mean_delta_head_19,head_19_ci_low,head_19_ci_high,mean_delta_head_20,head_20_ci_low,head_20_ci_high,mean_delta_head_21,head_21_ci_low,head_21_ci_high,mean_delta_head_22,head_22_ci_low,head_22_ci_high,mean_delta_head_23,head_23_ci_low,head_23_ci_high
0,120,-0.11389053662618001,0.1326010136923287,0.035615363717079164,0.020665923183163005,0.047208980203916624,-0.007134106506903966,-0.03816781640052795,0.021285513937473292,0.007652851287275553,0.003921703669863442,0.01217477882436166,0.0033831975694435337,-0.00794301855552476,0.014524840854962041,0.005160631891340017,-0.00923624937965845,0.01903730318435311,-0.013024833821691572,-0.026462461308886607,-0.0011797576461685861,-0.0030789829324930906,-0.016217771195418514,0.006108672763220956,-0.0011496271938085556,-0.01678853382356465,0.013952378450582422,-0.008682442479766905,-0.019937391099908077,0.00653188334001849,0.0027231338278700906,0.0019144825901215275,0.003460342712157095,0.020759267810111243,0.011397405374251926,0.028614688034091763,-0.02307178216675917,-0.029126620013266803,-0.018722283498694498,0.018750444737573466,-0.0009865480638109147,0.044352391825911275,0.004769611855347951,-0.005479921515022094,0.014856458201538766,-0.008461337350308896,-0.03891540826104271,0.021577018065533287,0.000551160362859567,3.5008434206247334e-05,0.0012081199705911174,0.00119558375251169,0.0006080073280221162,0.0019149563185055726,-0.0009430315966407458,-0.0012980954228745153,-0.0005550676196192704,0.1130841163918376,0.09245520882774144,0.13385443220691132,0.00633196160197258,-0.008970589661039412,0.021077313151520984,0.004405901208519936,0.00011932965057591598,0.010374522538234785,-0.005221133624824385,-0.010006380838458426,0.0006188548657034179,-0.02443773647149404,-0.05792662524773429,0.006309264989880223,0.0034228018232776475,-0.0017251365017242884,0.009108175381455415
1,120,-0.01731583122164011,-0.0023337798930394152,0.005458847836901744,-0.001973115577517698,0.01109545325394719,0.006171723750109474,-0.00010228882310912,0.011992881643818686,-0.007540441327728331,-0.012352169579244218,-0.0028820326346127956,-0.006846819616233309,-0.014869878749984007,-0.0006753058667527618,-0.012685026259471972,-0.018393710843132186,-0.00598421375383623,0.017365494339416424,0.009643102076370268,0.025169999653007827,0.0008952191798016429,-0.002318190070994509,0.003851832588552496,0.002634797350037843,-0.0006980657135136426,0.006250118497118811,-0.0017417375696823002,-0.0058053717271347215,0.002420397135817132,-0.0013845466232548158,-0.005234742458560504,0.0028183309702823523,-0.002665510591274748,-0.009055699558133104,0.0034712091727609087,0.006333768825667599,-0.0008722179916609699,0.013419803463621063,0.00022918439159790675,-0.0047028044254208605,0.004744516182302806,0.002649790324115505,-0.001314356244110968,0.007147231600344332,-0.005406001342150072,-0.010210508211554649,-0.00014655470731668606,0.0008876541551823418,-0.003600095854878115,0.004687247409989745,0.0018451256367067496,-0.002179976769451362,0.006289911617253285,-0.0005957285718371471,-0.005144617263770973,0.004133691670916347,-0.0010207256845509013,-0.004801049731128539,0.002760201749236632,-0.0016877563786692918,-0.006532404606890243,0.0025244785249621273,-0.001406766497530043,-0.00505580409100124,0.0017680555657716458,-0.006733061070553959,-0.009629626774500745,-0.0020886557265960945,0.000598306554214408,-0.00304566467772626,0.004134495414327824,0.0023104292961458367,-0.0018412973522208631,0.007150534413134058
2,120,0.0295626612380147,0.019788415518511706,0.0014567824138794095,-0.0024686537897893384,0.006435486098635004,-0.002252645635356506,-0.006456329190405086,0.0022557779234678704,0.0005713321249155948,-0.002129685000400059,0.002974771189910821,-0.0022489349804042527,-0.004232718404624999,0.00043915268208365355,0.0009091966125803689,-0.0026400819120074932,0.005453173532150682,0.003908468193064133,0.0005015114644387116,0.007469760688642655,0.0017553198539341488,-0.0003254056180594489,0.003992413298304503,0.0026160789808879295,-0.00393341425806284,0.009626805857988072,0.0011167039279825985,0.00020614276213260988,0.0021031196794744265,0.0009680539059142272,-0.0016398754275481528,0.0041040618449915195,0.004989911196753382,-0.0012300720919544497,0.011616991057526315,-0.0008089131209999323,-0.00748403075733222,0.005695745719325107,0.003889916418120265,-0.0014350781049385355,0.008434985971349913,0.003617321482549111,-0.007510754428027819,0.01276366602862253,0.0011192820345362028,-0.0017804976455712072,0.00478265738619181,0.0011175839230418206,-0.00015899856012159338,0.0026938879889591284,0.002338797637882332,-0.0008604978211224079,0.005280080399825235,0.0007399390606830518,-0.0033095929137198256,0.004213142873486503,0.0015329428017139435,0.00091474399533278,0.002355779855861328,-0.0014074117255707581,-0.003628632607772791,0.0012638299844305305,-0.0007438099787880977,-0.003808779739192687,0.0020737439828614392,0.00020917266762504976,-0.0025024457733767726,0.00297431143776824,0.0025972320853422087,-0.0019042766171817977,0.006942441124701871,-0.008203904361774523,-0.013939175565804665,-0.002606084177969024
3,120,0.03614672000209491,-0.0031951271870639176,0.001124354125931859,-0.006670311820926145,0.008608780746969072,-0.004049855819903314,-0.009822742930070186,0.0015447268254744492,0.0007371630830069383,-0.003422148381941952,0.0036776530828016483,-0.008641483541578055,-0.013381833346793428,-0.004107984056657494,0.010015415260568261,0.005084749183539922,0.01492957829420144,0.000284047737174357,-0.0012660307425054877,0.002147814117827993,-0.005062895753265669,-0.011899691472838944,0.0015450208265489472,-0.003158265786866347,-0.005481153949804138,-0.0010366574415820663,0.00021141196290651957,-0.003828768331829148,0.004203964073094534,0.002253386254111926,-0.0015111208932163814,0.006222788512241089,-0.007710105328199764,-0.012687101478222758,-0.0021388741933818316,0.007637486226546268,0.0007811426943711315,0.015204888868611306,0.001065157159852485,-0.001636908782335619,0.003666205568394311,-0.0020540084379414717,-0.004976529524816821,0.0009594363952055548,0.0022776893301246067,-0.00034327048032234105,0.00463425742064525,0.0006803116916368405,-0.002605800508269264,0.0036357214940168584,-0.002280306622075538,-0.004211205861744626,0.00019942538773951076,0.008831224664269636,0.005808083923669377,0.011681120402839343,-0.001685729599557817,-0.006361116170689153,0.003373589832335702,0.00021592650252083939,-0.006675888239406049,0.00824150317891811,-0.0039324158841433626,-0.007173979275685269,-0.0012446569351595833,-0.0020756383892148733,-0.005912117594853043,0.0024987495500439112,-0.002339184400625527,-0.009883659616073903,0.00605907461140304,0.004461188377657284,-0.0006061681054416112,0.008428067398102328
4,120,-0.001921750232577324,0.04926300330747229,-0.0017996272809493044,-0.002833277755222904,-0.0007064734145145246,0.0015177136054262518,-0.00028502303030109033,0.0035125942438996084,-0.0007194955289984743,-0.0035151535686842785,0.0023083153769645507,-0.010832864822198947,-0.020096027376130223,0.0002461154363117946,0.001713314656323443,-0.0028765057906275614,0.006086206560624607,-0.0005210312704245249,-0.006104950057924725,0.0046732577291550064,-0.006382273253984749,-0.01543473608714218,0.0017234707666405704,0.00025425546336919067,-0.0036994544372040156,0.004969806337030601,0.008830038244680812,0.003912052214630725,0.014344085557289265,-0.0033888636777798333,-0.008257447765984883,0.0008993893601776401,0.0027469179787052173,-9.122426835043976e-05,0.006214646338970243,-0.00453513254566739,-0.006954707926585494,-0.0018499052860230837,0.0008082380731745313,-0.001065675438925003,0.002423932556460689,0.009824860107619316,0.004901460403731714,0.015074319944542367,0.00023140327539294958,-0.0035721589698611447,0.0034400419497008744,0.012311207844565313,0.0023632675362750886,0.023125951927310463,-0.0008978792388613026,-0.0034151408871791016,0.002270144837287563,-0.004138010103876392,-0.01005486270141167,0.0022817528519468878,-0.001381003150405983,-0.0032995569022993246,0.0003676019828223303,0.02499241950378443,0.01637686999543803,0.037195718749523314,0.018151159149905047,0.00982188047724776,0.027065161283050334,-0.012528617101876686,-0.016777127320043897,-0.007086167817954754,0.012261848772565524,0.0009023861311531316,0.02376081317410959,0.0027444246069838604,-0.0024587919062469153,0.006926201442256564
5,120,-0.06465873618920644,-0.004797863519828146,-0.001484674393820266,-0.00602207821192375,0.0034333530805694527,0.006352726734864215,0.002505571839380233,0.009348786918077773,0.0028448110291113458,-0.0012783255788963287,0.006371667180210345,-0.004426936176605523,-0.00721176160654674,-0.0019169241226821517,-0.013219124094272653,-0.03345561461678395,0.007877462116302912,0.025156556737298767,0.01458591370920961,0.037646448269952074,0.00030158559481302896,-0.006036249472914885,0.007116701521445063,0.0019562425479913753,0.00047213218873366715,0.004049273683534312,0.006595486495643854,0.0025101969088427724,0.011625348717595135,-0.0018375993706285954,-0.007812455273233354,0.004516371532032882,0.010312970929468672,0.0008264992343417058,0.020112190683527535,-0.058624662070845567,-0.07819155492975066,-0.040580987704452155,0.0027264657837804407,0.0009735298381807904,0.004463468717440263,-0.0016311823623254896,-0.0034664373277337288,0.0005926682139397592,0.004471293122818073,0.0016126409642553579,0.00785219427838455,-0.006755254262437423,-0.014867319126302996,0.0029340863577090137,0.008922503772191703,0.005396606725795815,0.01330483636042723,0.0007035248524819811,-0.0003610550619972249,0.001577541915661034,0.0004910626914352179,-0.0007634239356654386,0.0018425638042390315,0.003774672808746497,-0.0013445581185321013,0.009628891499402619,-0.0004769883739451567,-0.011282597557486345,0.007262333321850739,0.0024398342861483495,-0.00035657247994095085,0.005764646577105542,0.0029083620640449224,-0.0005052836007477404,0.00573827887361403,0.003700458134214083,-0.0010473286473037054,0.008820482298033309
6,120,0.11262419130653142,0.03633328308351338,0.010691488161683083,0.0008412419725209475,0.01845392828496794,0.0014811425159374874,-0.0018300178130933394,0.004891599219602842,-0.010209767955044906,-0.015660538022251178,-0.004292502359797561,0.0025180404772982,-0.00012061012967023998,0.006208008726631911,-0.0003682039949732522,-0.001485381432964156,0.0007296123518608497,-0.008992396326114734,-0.02047665083858495,0.002580073355153789,0.0014215793111361564,-0.00025808115703208987,0.0032803860373678616,0.04749369453638792,0.02559909761262437,0.0689906123940212,-0.008148151899998386,-0.012241887052659876,-0.0036293553462019208,0.002299564611166716,-9.327693415495256e-05,0.005524591197802994,-0.03402152162355681,-0.044642633447268355,-0.023933439922208588,0.003858660332237681,-0.0016666591838778307,0.009921942936101304,0.0025156067684292795,-0.0015310522564686835,0.007527978120682129,0.042910804483108224,0.029952034672605803,0.05731822564014388,0.011728217157845696,0.007689559911183703,0.015869594153482467,-0.0007284496833259861,-0.0015859955021490654,0.00034185836169247746,0.0036260275247817237,-6.16095810740565e-05,0.006857144537498241,0.00044790035268912713,3.2205813137503966e-05,0.0009181455478149774,-0.007628775310392181,-0.009780771913938224,-0.004873421387746931,0.006882906899166604,0.0026781846864226584,0.011352230372528232,0.006183530762791633,9.109185077250007e-05,0.010366421428043391,-0.011561577580869198,-0.015298123219593738,-0.007630906541598968,-0.020590800419449808,-0.03488622863621761,-0.011201229204113287,-0.005476236017420888,-0.012217428977601232,0.0015757614645796507
7,120,-0.3063418519993623,0.11601776670625744,-0.04635281736652056,-0.06599914875191946,-0.031017715442770488,0.036242528818547726,0.0214216244899823,0.047085491110725936,-0.02176949200220406,-0.02806308880952808,-0.013025538921744255,0.046658912549416225,0.03308744951461753,0.06008616251560548,0.0018121471162885427,-0.0038710363659386834,0.006548110519846278,0.002576123038306832,-0.006636588208687802,0.009782732478342947,-0.0008616125211119652,-0.0024941162307125825,0.00045136592719548663,-7.579341569604972e-05,-0.0007920895328667636,0.0006507094284461342,0.004444257891736925,0.0009898258117027581,0.008627868759601066,0.00039278184218953055,-0.00017101573350373657,0.0008461006094391146,0.011800020863302053,0.007265192373500516,0.01597451309712293,0.008044687330645199,0.0057582131802337245,0.010420625188999109,0.007941863825544715,0.005915592054758842,0.0102559990544493,-0.000439467461546883,-0.0017436692424719997,0.0011558457390249974,0.0042057391062068445,0.002802937488013413,0.005763742855633605,-0.0007838098409896096,-0.0037168547881689545,0.00219076102347268,0.003036388040830692,-0.0013814463074474286,0.007604863765106225,-0.0006387326245506605,-0.009948286201494435,0.007251317943058283,0.07185956093793114,0.03895975067357843,0.10193150998403629,0.013950732614224156,0.0073983324885678785,0.020419625086166578,-0.03494471696515878,-0.04485963142011314,-0.02592914931786558,0.0059552205183232825,-0.0024293916332923495,0.01431967811212719,0.02051728795437763,0.015902892057589876,0.026218475362402387,-0.017554043543835482,-0.026283927521047495,-0.006091437136443961
8,120,-0.09399915498991808,0.18374987021476652,-0.022319084126502277,-0.026628394428795825,-0.017821176510769875,0.01677492189531525,0.011338902680048099,0.02193149543755377,-0.01214739999268204,-0.02008708283149948,-0.0043785326720293056,0.016827196969340246,0.003951733751843373,0.031576854907907535,-0.023137685904900233,-0.04286850416411956,-0.006637121665601935,0.06281134450497726,0.05146500010664264,0.07576183777612942,0.08183001563108215,0.061689247875280365,0.10268190538316654,-0.029345614152650037,-0.03815539505487929,-0.018684032265640176,0.02291283946639548,0.006948920335271396,0.03594660209627666,-0.024048140567416946,-0.036020242093363776,-0.011473740104120226,0.028247027316441138,0.016584992534869038,0.03707978210877627,-0.03965077645843849,-0.04642633354407735,-0.03227189440260796,0.028330069392298658,0.021633566360299786,0.03434140045001792,0.08513028733432293,0.06803897645130443,0.10077794941103395,-0.005897619249299169,-0.020979056200788666,0.005906017329155776,0.009548413365458449,0.005076766973361373,0.012815245028662802,-0.038394899914662044,-0.04917664848268032,-0.02841211956925691,0.010089508770033718,0.003235226295849619,0.017488929734875754,0.016605387643600502,0.011378021145549913,0.020793668329715725,-0.009113130997866392,-0.021013410134861864,0.005879084242042134,0.02367107051735123,0.012665609278871367,0.031831000716580696,-0.03587266107400258,-0.05087125755380839,-0.02107837718135368,0.008062552707269788,0.0005177416206182292,0.019739997887518256,0.012836247139299909,0.0017773906025104224,0.024420308356638974
9,120,-0.04611249739925067,0.17675471055166175,0.08334176515539488,0.06006171072522799,0.10606791773655762,0.008686800207942724,-0.002610553439396123,0.01762255732406629,0.04676597419505318,0.03584205777675379,0.057239780128584244,-0.019570468738675118,-0.04086448593686024,0.0034275485140581913,-0.1271648146212101,-0.14797848550059522,-0.10539772643164422,0.12081372073541084,0.08451303586984675,0.15570183379886052,-0.04605789449997246,-0.05837414565379732,-0.03771424532402307,0.021487628885855276,0.015240941417093078,0.028136452523758633,0.07141558543468515,0.05722689868533053,0.08130880359987107,-0.013238262105733156,-0.02744850101415068,0.004623419226457659,-0.05793747530939678,-0.07950957659825993,-0.034310845384219045,0.009900740285714468,0.003457810856634751,0.01802627347138089,-0.09356930864353975,-0.1194844346679747,-0.0674415838082011,0.001858450216241181,-0.002248508466873318,0.006692257267811024,0.0763690877550592,0.05410293687329007,0.09507169737752216,0.017107420732888082,0.011701807631373715,0.02245041020563803,-0.052751664600024624,-0.06090844534415131,-0.04443611359301333,0.023104519257321952,0.013754370368163411,0.031100317544381445,0.0860979194752872,0.0714834145635056,0.1002326210013901,-0.031501403202613194,-0.047369078735355286,-0.012893315090332216,-0.008742207824252547,-0.014164811806792084,-0.0037489446202137876,0.058170280512422325,0.04532367630124402,0.07223535793173748,-0.03965262883963684,-0.05817810753088755,-0.017082457531554008,0.04182094608743985,0.030492803618932765,0.05202049017573396
