layer,head,n_pairs,mean_nll_reduction,mean_baseline_delta,mean_intervened_delta
13,7,120,1.422155189710474,5.425362246357455,4.003207056646981
16,13,120,1.3391477260615006,5.425362246357455,4.086214520295955
29,18,120,0.013737585275287874,5.425362246357455,5.411624661082167
27,19,120,0.011891408079369179,5.425362246357455,5.413470838278085
26,9,120,0.0058201942168580245,5.425362246357455,5.4195420521405975
29,0,120,0.005805742972722047,5.425362246357455,5.419556503384732
28,19,120,0.005419783579897452,5.425362246357455,5.419942462777557
21,15,120,0.002034214532169502,5.425362246357455,5.423328031825284
28,17,120,0.0007400351412313416,5.425362246357455,5.4246222112162235
26,11,120,0.0005319588811350512,5.425362246357455,5.42483028747632
30,20,120,0.00025303688201805283,5.425362246357455,5.425109209475437
22,18,120,-0.00013431939088984882,5.425362246357455,5.425496565748345
28,20,120,-0.000686008244075159,5.425362246357455,5.42604825460153
25,6,120,-0.0008328662077223781,5.425362246357455,5.426195112565178
22,20,120,-0.0011114326160008724,5.425362246357455,5.426473678973455
29,20,120,-0.008316602591702754,5.425362246357455,5.433678848949158
30,11,120,-0.022873914773670023,5.425362246357455,5.448236161131126
27,20,120,-0.06848691678668001,5.425362246357455,5.493849163144135
26,12,120,-0.10971221057821137,5.425362246357455,5.535074456935666
16,12,120,-0.33413746870156574,5.425362246357455,5.759499715059021
