layer,head,n_pairs,mean_nll_reduction,mean_baseline_delta,mean_intervened_delta
77,5,120,0.015582633870707959,10.089172388630113,10.073589754759405
79,11,120,0.004666173489835287,10.089172388630113,10.084506215140276
72,5,120,0.0021510893614630987,10.089172388630113,10.08702129926865
71,32,120,0.0021245245522230356,10.089172388630113,10.087047864077892
73,33,120,0.0013212090236471925,10.089172388630113,10.087851179606465
75,32,120,0.0001472273822726707,10.089172388630113,10.08902516124784
74,9,120,2.2512511023272303e-05,10.089172388630113,10.08914987611909
70,35,120,-0.00018590574096930175,10.089172388630113,10.089358294371083
76,60,120,-0.0019316776681039779,10.089172388630113,10.091104066298218
78,57,120,-0.006749398428307148,10.089172388630113,10.095921787058419
