layer,head,n_pairs,mean_nll_reduction,mean_baseline_delta,mean_intervened_delta
53,16,120,0.06590297325530733,10.089172388630113,10.023269415374804
58,51,120,0.02538148123116102,10.089172388630113,10.063790907398952
78,4,120,0.0012289445863399085,10.089172388630113,10.087943444043772
78,2,120,0.00023836381574251497,10.089172388630113,10.088934024814371
60,5,120,-0.0002154050809694404,10.089172388630113,10.089387793711085
78,3,120,-0.0005391145781163139,10.089172388630113,10.08971150320823
76,1,120,-0.0013724483283213999,10.089172388630113,10.090544836958435
78,0,120,-0.0026193765931862103,10.089172388630113,10.091791765223297
55,19,120,-0.003351980886621512,10.089172388630113,10.092524369516733
59,25,120,-0.016131769091310255,10.089172388630113,10.105304157721424
