layer,head,n_pairs,mean_ctrl_to_ccp_reduction,mean_ccp_to_ctrl_increase,mean_baseline_delta
25,1,120,0.18059080150256523,0.0005871896364136119,7.596125488779463
18,15,120,0.16177841771191512,0.003768552790337277,7.596125488779463
26,26,120,0.13260033534325863,0.002748792044220836,7.596125488779463
20,1,120,0.1312936267037955,-9.95044163673205e-06,7.596125488779463
23,15,120,0.10285002921998367,0.0011951383108984007,7.596125488779463
19,6,120,0.09735708099486162,0.0001696520170663378,7.596125488779463
22,7,120,0.0619015112380468,0.0002482916259126942,7.596125488779463
24,16,120,0.034889094340643925,0.0013657699236436945,7.596125488779463
21,22,120,0.03459445301189502,0.0007572236036849252,7.596125488779463
27,16,120,0.017755181161097998,0.0005065359341676992,7.596125488779463
