layer,head,n_pairs,mean_ctrl_to_ccp_reduction,mean_ccp_to_ctrl_increase,mean_baseline_delta
17,17,32,0.08008732872128521,0.005093515392338377,5.505961260315589
22,4,32,0.04046087602326615,0.004644812309153812,5.505961260315589
22,5,32,0.038211168726343184,0.006874194976011338,5.505961260315589
23,3,32,0.031657338897457546,0.0011428348228749823,5.505961260315589
23,2,32,0.02853890336455154,0.0034938507893151893,5.505961260315589
22,7,32,0.027549673746500455,0.003599541454000343,5.505961260315589
20,14,32,0.02118454877334551,0.0008919752560048151,5.505961260315589
20,10,32,0.01643109314121316,0.0008784156774181976,5.505961260315589
23,30,32,0.00528928333768882,0.001151610340145127,5.505961260315589
22,6,32,-0.04352901989920498,-0.0004826133364912022,5.505961260315589
